c_w,k,numGapJns,rep,spikeRate
0.0,0,0.0,0,25.74
0.0,0,0.0,1,24.08
0.0,0,0.0,2,25.74
0.0,0,0.0,3,23.94
0.0,0,0.0,4,25.74
0.025,0,0.0,0,24.58
0.025,0,0.0,1,0.26
0.025,0,0.0,2,26.64
0.025,0,0.0,3,27.28
0.025,0,0.0,4,24.76
0.05,0,0.0,0,27.32
0.05,0,0.0,1,26.4
0.05,0,0.0,2,24.96
0.05,0,0.0,3,24.98
0.05,0,0.0,4,23.76
0.075,0,0.0,0,24.0
0.075,0,0.0,1,19.48
0.075,0,0.0,2,26.8
0.075,0,0.0,3,26.0
0.075,0,0.0,4,24.02
0.1,0,0.0,0,25.74
0.1,0,0.0,1,22.54
0.1,0,0.0,2,21.98
0.1,0,0.0,3,24.96
0.1,0,0.0,4,26.0
0.125,0,0.0,0,23.88
0.125,0,0.0,1,23.88
0.125,0,0.0,2,26.0
0.125,0,0.0,3,26.0
0.125,0,0.0,4,26.76
0.15,0,0.0,0,27.62
0.15,0,0.0,1,24.06
0.15,0,0.0,2,25.16
0.15,0,0.0,3,27.84
0.15,0,0.0,4,23.54
0.175,0,0.0,0,24.94
0.175,0,0.0,1,22.0
0.175,0,0.0,2,22.3
0.175,0,0.0,3,24.0
0.175,0,0.0,4,24.32
0.2,0,0.0,0,24.24
0.2,0,0.0,1,24.08
0.2,0,0.0,2,26.0
0.2,0,0.0,3,19.8
0.2,0,0.0,4,25.84
0.225,0,0.0,0,24.68
0.225,0,0.0,1,25.34
0.225,0,0.0,2,23.86
0.225,0,0.0,3,23.76
0.225,0,0.0,4,26.0
0.25,0,0.0,0,23.68
0.25,0,0.0,1,25.74
0.25,0,0.0,2,24.0
0.25,0,0.0,3,25.54
0.25,0,0.0,4,22.06
0.275,0,0.0,0,24.0
0.275,0,0.0,1,25.26
0.275,0,0.0,2,24.08
0.275,0,0.0,3,24.36
0.275,0,0.0,4,25.14
0.3,0,0.0,0,23.78
0.3,0,0.0,1,24.04
0.3,0,0.0,2,25.58
0.3,0,0.0,3,26.0
0.3,0,0.0,4,23.9
0.325,0,0.0,0,26.0
0.325,0,0.0,1,26.24
0.325,0,0.0,2,24.56
0.325,0,0.0,3,27.2
0.325,0,0.0,4,24.92
0.35,0,0.0,0,25.88
0.35,0,0.0,1,25.48
0.35,0,0.0,2,22.04
0.35,0,0.0,3,26.0
0.35,0,0.0,4,24.22
0.375,0,0.0,0,26.42
0.375,0,0.0,1,25.74
0.375,0,0.0,2,25.74
0.375,0,0.0,3,25.74
0.375,0,0.0,4,27.24
0.4,0,0.0,0,22.3
0.4,0,0.0,1,22.16
0.4,0,0.0,2,24.78
0.4,0,0.0,3,24.32
0.4,0,0.0,4,26.22
0.425,0,0.0,0,27.54
0.425,0,0.0,1,26.0
0.425,0,0.0,2,25.48
0.425,0,0.0,3,24.86
0.425,0,0.0,4,23.66
0.45,0,0.0,0,26.0
0.45,0,0.0,1,23.92
0.45,0,0.0,2,23.98
0.45,0,0.0,3,26.44
0.45,0,0.0,4,27.16
0.475,0,0.0,0,26.66
0.475,0,0.0,1,25.96
0.475,0,0.0,2,23.76
0.475,0,0.0,3,23.58
0.475,0,0.0,4,25.0
