c_w,k,numGapJns,rep,spikeRate
0.0,0,0.0,0,26.8
0.0,0,0.0,1,24.52
0.0,0,0.0,2,27.06
0.0,0,0.0,3,25.74
0.0,0,0.0,4,23.76
0.025,0,0.0,0,24.34
0.025,0,0.0,1,0.26
0.025,0,0.0,2,25.52
0.025,0,0.0,3,26.52
0.025,0,0.0,4,25.74
0.05,0,0.0,0,25.9
0.05,0,0.0,1,25.38
0.05,0,0.0,2,26.46
0.05,0,0.0,3,26.08
0.05,0,0.0,4,24.86
0.075,0,0.0,0,26.0
0.075,0,0.0,1,21.96
0.075,0,0.0,2,26.14
0.075,0,0.0,3,26.02
0.075,0,0.0,4,25.48
0.1,0,0.0,0,25.84
0.1,0,0.0,1,24.0
0.1,0,0.0,2,23.76
0.1,0,0.0,3,25.5
0.1,0,0.0,4,27.64
0.125,0,0.0,0,26.04
0.125,0,0.0,1,25.48
0.125,0,0.0,2,27.76
0.125,0,0.0,3,26.28
0.125,0,0.0,4,25.68
0.15,0,0.0,0,24.66
0.15,0,0.0,1,26.06
0.15,0,0.0,2,23.78
0.15,0,0.0,3,26.26
0.15,0,0.0,4,26.36
0.175,0,0.0,0,24.02
0.175,0,0.0,1,23.76
0.175,0,0.0,2,22.74
0.175,0,0.0,3,25.52
0.175,0,0.0,4,25.56
0.2,0,0.0,0,25.86
0.2,0,0.0,1,27.12
0.2,0,0.0,2,26.0
0.2,0,0.0,3,19.86
0.2,0,0.0,4,26.24
0.225,0,0.0,0,25.7
0.225,0,0.0,1,27.24
0.225,0,0.0,2,25.74
0.225,0,0.0,3,25.18
0.225,0,0.0,4,27.44
0.25,0,0.0,0,23.5
0.25,0,0.0,1,26.92
0.25,0,0.0,2,25.62
0.25,0,0.0,3,27.26
0.25,0,0.0,4,23.86
0.275,0,0.0,0,25.8
0.275,0,0.0,1,25.48
0.275,0,0.0,2,26.0
0.275,0,0.0,3,27.44
0.275,0,0.0,4,25.26
0.3,0,0.0,0,25.74
0.3,0,0.0,1,26.0
0.3,0,0.0,2,26.0
0.3,0,0.0,3,26.18
0.3,0,0.0,4,23.88
0.325,0,0.0,0,27.72
0.325,0,0.0,1,26.62
0.325,0,0.0,2,25.74
0.325,0,0.0,3,27.26
0.325,0,0.0,4,26.42
0.35,0,0.0,0,25.74
0.35,0,0.0,1,26.22
0.35,0,0.0,2,23.76
0.35,0,0.0,3,26.98
0.35,0,0.0,4,24.5
0.375,0,0.0,0,25.86
0.375,0,0.0,1,25.82
0.375,0,0.0,2,27.28
0.375,0,0.0,3,26.64
0.375,0,0.0,4,25.52
0.4,0,0.0,0,23.76
0.4,0,0.0,1,22.16
0.4,0,0.0,2,25.48
0.4,0,0.0,3,26.0
0.4,0,0.0,4,26.68
0.425,0,0.0,0,26.94
0.425,0,0.0,1,27.42
0.425,0,0.0,2,27.06
0.425,0,0.0,3,25.48
0.425,0,0.0,4,25.34
0.45,0,0.0,0,26.84
0.45,0,0.0,1,25.48
0.45,0,0.0,2,25.64
0.45,0,0.0,3,26.14
0.45,0,0.0,4,25.6
0.475,0,0.0,0,25.42
0.475,0,0.0,1,26.44
0.475,0,0.0,2,26.08
0.475,0,0.0,3,24.14
0.475,0,0.0,4,26.0
0.5,0,0.0,0,24.02
0.5,0,0.0,1,25.72
0.5,0,0.0,2,26.32
0.5,0,0.0,3,26.68
0.5,0,0.0,4,26.0
0.525,0,0.0,0,26.04
0.525,0,0.0,1,25.48
0.525,0,0.0,2,23.9
0.525,0,0.0,3,25.24
0.525,0,0.0,4,25.74
0.55,0,0.0,0,25.48
0.55,0,0.0,1,25.84
0.55,0,0.0,2,27.54
0.55,0,0.0,3,25.8
0.55,0,0.0,4,27.52
0.575,0,0.0,0,24.06
0.575,0,0.0,1,26.34
0.575,0,0.0,2,25.24
0.575,0,0.0,3,24.02
0.575,0,0.0,4,27.68
0.6,0,0.0,0,26.92
0.6,0,0.0,1,24.98
0.6,0,0.0,2,26.0
0.6,0,0.0,3,23.88
0.6,0,0.0,4,25.9
0.625,0,0.0,0,25.86
0.625,0,0.0,1,27.06
0.625,0,0.0,2,25.68
0.625,0,0.0,3,25.74
0.625,0,0.0,4,25.94
0.65,0,0.0,0,25.54
0.65,0,0.0,1,24.56
0.65,0,0.0,2,25.36
0.65,0,0.0,3,26.74
0.65,0,0.0,4,23.76
0.675,0,0.0,0,26.22
0.675,0,0.0,1,24.02
0.675,0,0.0,2,23.76
0.675,0,0.0,3,26.0
0.675,0,0.0,4,24.12
0.7,0,0.0,0,24.6
0.7,0,0.0,1,27.06
0.7,0,0.0,2,26.2
0.7,0,0.0,3,24.0
0.7,0,0.0,4,25.38
0.725,0,0.0,0,25.74
0.725,0,0.0,1,24.08
0.725,0,0.0,2,25.48
0.725,0,0.0,3,23.96
0.725,0,0.0,4,26.32
0.75,0,0.0,0,26.1
0.75,0,0.0,1,26.66
0.75,0,0.0,2,24.6
0.75,0,0.0,3,25.94
0.75,0,0.0,4,25.48
0.775,0,0.0,0,25.74
0.775,0,0.0,1,23.76
0.775,0,0.0,2,25.48
0.775,0,0.0,3,26.0
0.775,0,0.0,4,26.26
0.8,0,0.0,0,23.56
0.8,0,0.0,1,27.42
0.8,0,0.0,2,26.94
0.8,0,0.0,3,20.02
0.8,0,0.0,4,24.34
0.825,0,0.0,0,23.76
0.825,0,0.0,1,25.78
0.825,0,0.0,2,25.38
0.825,0,0.0,3,24.96
0.825,0,0.0,4,26.8
0.85,0,0.0,0,24.24
0.85,0,0.0,1,25.74
0.85,0,0.0,2,25.56
0.85,0,0.0,3,25.34
0.85,0,0.0,4,25.74
0.875,0,0.0,0,26.0
0.875,0,0.0,1,27.66
0.875,0,0.0,2,21.82
0.875,0,0.0,3,25.7
0.875,0,0.0,4,24.1
0.9,0,0.0,0,26.54
0.9,0,0.0,1,25.52
0.9,0,0.0,2,26.04
0.9,0,0.0,3,25.18
0.9,0,0.0,4,25.74
0.925,0,0.0,0,26.9
0.925,0,0.0,1,26.76
0.925,0,0.0,2,25.88
0.925,0,0.0,3,26.92
0.925,0,0.0,4,25.46
0.95,0,0.0,0,26.68
0.95,0,0.0,1,26.44
0.95,0,0.0,2,26.82
0.95,0,0.0,3,27.1
0.95,0,0.0,4,25.6
0.975,0,0.0,0,22.0
0.975,0,0.0,1,27.66
0.975,0,0.0,2,25.44
0.975,0,0.0,3,24.48
0.975,0,0.0,4,25.8
0.0,1,0.0,0,24.0
0.0,1,0.0,1,25.7
0.0,1,0.0,2,25.58
0.0,1,0.0,3,25.96
0.0,1,0.0,4,27.36
0.025,1,0.5,0,25.68
0.025,1,0.5,1,25.28
0.025,1,0.5,2,25.48
0.025,1,0.5,3,23.76
0.025,1,0.5,4,0.28
0.05,1,0.5,0,26.06
0.05,1,0.5,1,25.46
0.05,1,0.5,2,25.88
0.05,1,0.5,3,25.7
0.05,1,0.5,4,24.5
0.075,1,0.5,0,25.22
0.075,1,0.5,1,25.98
0.075,1,0.5,2,24.68
0.075,1,0.5,3,24.1
0.075,1,0.5,4,27.22
0.1,1,0.5,0,23.76
0.1,1,0.5,1,23.28
0.1,1,0.5,2,25.66
0.1,1,0.5,3,24.08
0.1,1,0.5,4,25.16
0.125,1,0.5,0,24.92
0.125,1,0.5,1,25.72
0.125,1,0.5,2,26.72
0.125,1,0.5,3,26.2
0.125,1,0.5,4,26.0
0.15,1,0.5,0,23.96
0.15,1,0.5,1,26.78
0.15,1,0.5,2,27.44
0.15,1,0.5,3,24.44
0.15,1,0.5,4,26.0
0.175,1,0.5,0,24.42
0.175,1,0.5,1,24.0
0.175,1,0.5,2,21.96
0.175,1,0.5,3,26.72
0.175,1,0.5,4,26.56
0.2,1,0.5,0,24.0
0.2,1,0.5,1,24.96
0.2,1,0.5,2,24.46
0.2,1,0.5,3,24.4
0.2,1,0.5,4,27.36
0.225,1,0.5,0,24.02
0.225,1,0.5,1,23.76
0.225,1,0.5,2,23.12
0.225,1,0.5,3,25.12
0.225,1,0.5,4,24.0
0.25,1,0.5,0,22.32
0.25,1,0.5,1,24.02
0.25,1,0.5,2,25.18
0.25,1,0.5,3,24.0
