c_w,k,numGapJns,rep,spikeRate
0.0,0,0.0,0,27.42
0.025,0,0.0,0,27.42
0.05,0,0.0,0,27.42
0.075,0,0.0,0,27.42
0.1,0,0.0,0,27.42
0.125,0,0.0,0,27.42
0.15,0,0.0,0,27.42
0.175,0,0.0,0,27.42
0.2,0,0.0,0,27.42
0.225,0,0.0,0,27.42
0.25,0,0.0,0,27.42
0.275,0,0.0,0,27.42
0.3,0,0.0,0,27.42
0.325,0,0.0,0,27.42
0.35,0,0.0,0,27.42
0.375,0,0.0,0,27.42
0.4,0,0.0,0,27.42
0.425,0,0.0,0,27.42
0.45,0,0.0,0,27.42
0.475,0,0.0,0,27.42
0.5,0,0.0,0,27.42
0.525,0,0.0,0,27.42
0.55,0,0.0,0,27.42
0.575,0,0.0,0,27.42
0.6,0,0.0,0,27.42
0.625,0,0.0,0,27.42
0.65,0,0.0,0,27.42
0.675,0,0.0,0,27.42
0.7,0,0.0,0,27.42
0.725,0,0.0,0,27.42
0.75,0,0.0,0,27.42
0.775,0,0.0,0,27.42
0.8,0,0.0,0,27.42
0.825,0,0.0,0,27.42
0.85,0,0.0,0,27.42
0.875,0,0.0,0,27.42
0.9,0,0.0,0,27.42
0.925,0,0.0,0,27.42
0.95,0,0.0,0,27.42
0.975,0,0.0,0,27.42
0.0,1,0.0,0,27.42
0.025,1,0.5,0,27.24
0.05,1,0.5,0,27.28
0.075,1,0.5,0,27.56
0.1,1,0.5,0,24.32
0.125,1,0.5,0,24.76
0.15,1,0.5,0,24.78
0.175,1,0.5,0,23.98
0.2,1,0.5,0,22.9
0.225,1,0.5,0,24.04
0.25,1,0.5,0,23.56
0.275,1,0.5,0,23.3
0.3,1,0.5,0,22.86
0.325,1,0.5,0,19.96
0.35,1,0.5,0,19.3
0.375,1,0.5,0,20.16
0.4,1,0.5,0,19.76
0.425,1,0.5,0,18.36
0.45,1,0.5,0,19.62
0.475,1,0.5,0,18.8
0.5,1,0.5,0,20.64
0.525,1,0.5,0,19.8
0.55,1,0.5,0,20.12
0.575,1,0.5,0,20.16
0.6,1,0.5,0,19.44
0.625,1,0.5,0,20.28
0.65,1,0.5,0,19.8
0.675,1,0.5,0,19.8
0.7,1,0.5,0,19.62
0.725,1,0.5,0,19.62
0.75,1,0.5,0,19.62
0.775,1,0.5,0,2.64
0.8,1,0.5,0,2.56
0.825,1,0.5,0,2.64
0.85,1,0.5,0,2.64
0.875,1,0.5,0,2.64
0.9,1,0.5,0,2.66
0.925,1,0.5,0,2.68
0.95,1,0.5,0,2.68
0.975,1,0.5,0,2.6
0.0,2,0.0,0,27.42
0.025,2,1.0,0,27.34
0.05,2,1.0,0,26.02
0.075,2,1.0,0,24.04
0.1,2,1.0,0,22.54
0.125,2,1.0,0,20.8
0.15,2,1.0,0,20.52
0.175,2,1.0,0,20.66
0.2,2,1.0,0,22.68
0.225,2,1.0,0,24.08
0.25,2,1.0,0,21.76
0.275,2,1.0,0,19.84
0.3,2,1.0,0,20.46
0.325,2,1.0,0,20.22
0.35,2,1.0,0,20.3
0.375,2,1.0,0,21.62
0.4,2,1.0,0,17.84
0.425,2,1.0,0,16.64
0.45,2,1.0,0,15.86
0.475,2,1.0,0,16.94
0.5,2,1.0,0,16.12
0.525,2,1.0,0,15.78
0.55,2,1.0,0,0.0
