c_w,k,numGapJns,rep,spikeRate
0.0,0,0.0,0,27.42
0.1,0,0.0,0,27.42
0.2,0,0.0,0,27.42
0.3,0,0.0,0,27.42
0.4,0,0.0,0,27.42
0.5,0,0.0,0,27.42
0.6,0,0.0,0,27.42
0.7,0,0.0,0,27.42
0.8,0,0.0,0,27.42
0.9,0,0.0,0,27.42
0.0,1,0.0,0,27.42
0.1,1,0.5,0,24.32
0.2,1,0.5,0,22.9
0.3,1,0.5,0,22.86
0.4,1,0.5,0,19.76
0.5,1,0.5,0,20.64
0.6,1,0.5,0,19.44
0.7,1,0.5,0,19.62
0.8,1,0.5,0,2.56
0.9,1,0.5,0,2.66
0.0,2,0.0,0,27.42
0.1,2,1.0,0,22.54
0.2,2,1.0,0,22.68
0.3,2,1.0,0,20.46
0.4,2,1.0,0,17.84
0.5,2,1.0,0,16.12
0.6,2,1.0,0,0.0
0.7,2,1.0,0,0.0
0.8,2,1.0,0,0.0
0.9,2,1.0,0,0.0
0.0,3,0.0,0,27.42
0.1,3,1.5,0,26.34
0.2,3,1.5,0,25.3
0.3,3,1.5,0,22.86
0.4,3,1.5,0,20.0
0.5,3,1.5,0,0.0
0.6,3,1.5,0,0.0
0.7,3,1.5,0,0.0
0.8,3,1.5,0,0.0
0.9,3,1.5,0,0.0
0.0,4,0.0,0,27.42
0.1,4,2.0,0,26.24
0.2,4,2.0,0,11.64
0.3,4,2.0,0,0.0
0.4,4,2.0,0,0.0
0.5,4,2.0,0,0.0
0.6,4,2.0,0,0.0
0.7,4,2.0,0,0.0
0.8,4,2.0,0,0.0
0.9,4,2.0,0,0.0
0.0,5,0.0,0,27.42
0.1,5,2.5,0,26.0
0.2,5,2.5,0,0.0
0.3,5,2.5,0,0.0
0.4,5,2.5,0,0.0
0.5,5,2.5,0,0.0
0.6,5,2.5,0,0.0
0.7,5,2.5,0,0.0
0.8,5,2.5,0,0.0
0.9,5,2.5,0,0.0
0.0,6,0.0,0,27.42
0.1,6,3.0,0,24.46
0.2,6,3.0,0,0.0
0.3,6,3.0,0,0.0
0.4,6,3.0,0,0.0
0.5,6,3.0,0,0.0
0.6,6,3.0,0,0.0
0.7,6,3.0,0,0.0
0.8,6,3.0,0,0.0
0.9,6,3.0,0,0.0
0.0,7,0.0,0,27.42
0.1,7,3.5,0,21.6
0.2,7,3.5,0,0.0
0.3,7,3.5,0,0.0
0.4,7,3.5,0,0.0
0.5,7,3.5,0,0.0
0.6,7,3.5,0,0.0
0.7,7,3.5,0,0.0
0.8,7,3.5,0,0.0
0.9,7,3.5,0,0.0
0.0,8,0.0,0,27.42
0.1,8,4.0,0,0.26
0.2,8,4.0,0,0.0
0.3,8,4.0,0,0.0
0.4,8,4.0,0,0.0
0.5,8,4.0,0,0.0
0.6,8,4.0,0,0.0
0.7,8,4.0,0,0.0
0.8,8,4.0,0,0.0
0.9,8,4.0,0,0.0
