c_w,k,numGapJns,rep,spikeRate
0.0,0,0.0,0,26.5
0.0,0,0.0,1,26.9
0.0,0,0.0,2,20.0
0.0,0,0.0,3,25.0
0.0,0,0.0,4,24.74
0.025,0,0.0,0,26.92
0.025,0,0.0,1,27.08
0.025,0,0.0,2,24.76
0.025,0,0.0,3,26.64
0.025,0,0.0,4,26.38
0.05,0,0.0,0,24.76
0.05,0,0.0,1,25.08
0.05,0,0.0,2,27.22
0.05,0,0.0,3,25.84
0.05,0,0.0,4,27.04
0.075,0,0.0,0,25.3
0.075,0,0.0,1,26.36
0.075,0,0.0,2,26.36
0.075,0,0.0,3,25.98
0.075,0,0.0,4,24.62
0.1,0,0.0,0,25.02
0.1,0,0.0,1,22.72
0.1,0,0.0,2,27.24
0.1,0,0.0,3,26.06
0.1,0,0.0,4,26.02
0.125,0,0.0,0,26.0
0.125,0,0.0,1,26.26
0.125,0,0.0,2,27.22
0.125,0,0.0,3,25.34
0.125,0,0.0,4,18.2
0.15,0,0.0,0,26.18
0.15,0,0.0,1,27.2
0.15,0,0.0,2,25.96
0.15,0,0.0,3,25.58
0.15,0,0.0,4,25.92
0.175,0,0.0,0,26.5
0.175,0,0.0,1,26.46
0.175,0,0.0,2,27.42
0.175,0,0.0,3,26.0
0.175,0,0.0,4,24.66
0.2,0,0.0,0,27.46
0.2,0,0.0,1,26.48
0.2,0,0.0,2,26.2
0.2,0,0.0,3,27.22
0.2,0,0.0,4,25.96
0.225,0,0.0,0,26.02
0.225,0,0.0,1,26.12
0.225,0,0.0,2,25.38
0.225,0,0.0,3,26.62
0.225,0,0.0,4,25.98
0.25,0,0.0,0,27.28
0.25,0,0.0,1,24.76
0.25,0,0.0,2,27.34
0.25,0,0.0,3,27.18
0.25,0,0.0,4,27.42
0.275,0,0.0,0,26.32
0.275,0,0.0,1,26.0
0.275,0,0.0,2,27.04
0.275,0,0.0,3,24.44
0.275,0,0.0,4,26.02
0.3,0,0.0,0,25.22
0.3,0,0.0,1,25.88
0.3,0,0.0,2,27.08
0.3,0,0.0,3,26.06
0.3,0,0.0,4,27.26
0.325,0,0.0,0,21.7
0.325,0,0.0,1,25.06
0.325,0,0.0,2,27.3
0.325,0,0.0,3,26.56
0.325,0,0.0,4,26.26
0.35,0,0.0,0,26.12
0.35,0,0.0,1,22.82
0.35,0,0.0,2,27.1
0.35,0,0.0,3,24.58
0.35,0,0.0,4,27.8
0.375,0,0.0,0,26.06
0.375,0,0.0,1,27.04
0.375,0,0.0,2,25.96
0.375,0,0.0,3,26.0
0.375,0,0.0,4,26.14
0.4,0,0.0,0,26.22
0.4,0,0.0,1,27.24
0.4,0,0.0,2,25.2
0.4,0,0.0,3,25.48
0.4,0,0.0,4,25.92
0.425,0,0.0,0,25.26
0.425,0,0.0,1,20.12
0.425,0,0.0,2,26.06
0.425,0,0.0,3,27.38
0.425,0,0.0,4,25.54
0.45,0,0.0,0,26.74
0.45,0,0.0,1,26.04
0.45,0,0.0,2,26.26
0.45,0,0.0,3,23.68
0.45,0,0.0,4,22.14
0.475,0,0.0,0,25.92
0.475,0,0.0,1,25.9
0.475,0,0.0,2,27.1
0.475,0,0.0,3,27.34
0.475,0,0.0,4,27.12
0.5,0,0.0,0,14.12
0.5,0,0.0,1,24.78
0.5,0,0.0,2,27.02
0.5,0,0.0,3,25.1
0.5,0,0.0,4,25.74
0.525,0,0.0,0,26.0
0.525,0,0.0,1,25.38
0.525,0,0.0,2,26.3
0.525,0,0.0,3,26.5
0.525,0,0.0,4,26.02
0.55,0,0.0,0,22.96
0.55,0,0.0,1,27.3
0.55,0,0.0,2,24.32
0.55,0,0.0,3,26.56
0.55,0,0.0,4,26.8
0.575,0,0.0,0,25.98
0.575,0,0.0,1,27.32
0.575,0,0.0,2,27.12
0.575,0,0.0,3,26.1
0.575,0,0.0,4,26.22
0.6,0,0.0,0,26.16
0.6,0,0.0,1,25.56
0.6,0,0.0,2,26.76
0.6,0,0.0,3,26.24
0.6,0,0.0,4,26.26
0.625,0,0.0,0,26.0
0.625,0,0.0,1,25.32
0.625,0,0.0,2,25.7
0.625,0,0.0,3,25.82
0.625,0,0.0,4,27.1
0.65,0,0.0,0,26.08
0.65,0,0.0,1,25.04
0.65,0,0.0,2,25.4
0.65,0,0.0,3,21.98
0.65,0,0.0,4,27.0
0.675,0,0.0,0,25.56
0.675,0,0.0,1,18.88
0.675,0,0.0,2,27.48
0.675,0,0.0,3,26.04
0.675,0,0.0,4,25.8
0.7,0,0.0,0,25.6
0.7,0,0.0,1,24.94
0.7,0,0.0,2,27.18
0.7,0,0.0,3,24.66
0.7,0,0.0,4,25.98
0.725,0,0.0,0,27.22
0.725,0,0.0,1,27.38
0.725,0,0.0,2,27.08
0.725,0,0.0,3,25.98
0.725,0,0.0,4,25.26
0.75,0,0.0,0,25.2
0.75,0,0.0,1,20.04
0.75,0,0.0,2,26.9
0.75,0,0.0,3,27.24
0.75,0,0.0,4,27.24
0.775,0,0.0,0,26.22
0.775,0,0.0,1,26.6
0.775,0,0.0,2,26.46
0.775,0,0.0,3,23.74
0.775,0,0.0,4,26.72
0.8,0,0.0,0,24.76
0.8,0,0.0,1,27.48
0.8,0,0.0,2,25.38
0.8,0,0.0,3,27.0
0.8,0,0.0,4,27.28
0.825,0,0.0,0,26.02
0.825,0,0.0,1,26.0
0.825,0,0.0,2,26.7
0.825,0,0.0,3,26.58
0.825,0,0.0,4,22.2
0.85,0,0.0,0,25.94
0.85,0,0.0,1,25.44
0.85,0,0.0,2,27.46
0.85,0,0.0,3,26.46
0.85,0,0.0,4,26.0
0.875,0,0.0,0,26.82
0.875,0,0.0,1,26.2
0.875,0,0.0,2,27.2
0.875,0,0.0,3,26.38
0.875,0,0.0,4,27.02
0.9,0,0.0,0,27.14
0.9,0,0.0,1,26.9
0.9,0,0.0,2,26.0
0.9,0,0.0,3,24.46
0.9,0,0.0,4,25.78
0.925,0,0.0,0,26.7
0.925,0,0.0,1,24.5
0.925,0,0.0,2,26.5
0.925,0,0.0,3,26.3
0.925,0,0.0,4,27.6
0.95,0,0.0,0,24.82
0.95,0,0.0,1,21.74
0.95,0,0.0,2,25.86
0.95,0,0.0,3,24.96
0.95,0,0.0,4,26.0
0.975,0,0.0,0,26.22
0.975,0,0.0,1,25.92
0.975,0,0.0,2,26.64
0.975,0,0.0,3,25.38
0.975,0,0.0,4,26.2
0.0,1,0.0,0,24.5
0.0,1,0.0,1,24.32
0.0,1,0.0,2,27.46
0.0,1,0.0,3,26.7
0.0,1,0.0,4,26.64
0.025,1,0.5,0,26.0
0.025,1,0.5,1,26.1
0.025,1,0.5,2,25.82
0.025,1,0.5,3,27.46
0.025,1,0.5,4,26.68
0.05,1,0.5,0,26.82
0.05,1,0.5,1,26.94
0.05,1,0.5,2,25.24
0.05,1,0.5,3,24.04
0.05,1,0.5,4,26.24
0.075,1,0.5,0,27.18
0.075,1,0.5,1,26.62
0.075,1,0.5,2,22.04
0.075,1,0.5,3,25.54
0.075,1,0.5,4,26.66
0.1,1,0.5,0,24.04
0.1,1,0.5,1,26.28
0.1,1,0.5,2,26.96
0.1,1,0.5,3,24.02
0.1,1,0.5,4,28.08
0.125,1,0.5,0,25.22
0.125,1,0.5,1,24.9
0.125,1,0.5,2,20.2
0.125,1,0.5,3,25.88
0.125,1,0.5,4,27.06
0.15,1,0.5,0,27.28
0.15,1,0.5,1,25.06
0.15,1,0.5,2,28.14
0.15,1,0.5,3,27.98
0.15,1,0.5,4,27.0
0.175,1,0.5,0,25.3
0.175,1,0.5,1,27.42
0.175,1,0.5,2,29.64
0.175,1,0.5,3,22.54
0.175,1,0.5,4,25.02
0.2,1,0.5,0,26.22
0.2,1,0.5,1,28.98
0.2,1,0.5,2,23.02
0.2,1,0.5,3,22.38
0.2,1,0.5,4,23.86
0.225,1,0.5,0,26.02
0.225,1,0.5,1,26.16
0.225,1,0.5,2,23.3
0.225,1,0.5,3,24.0
0.225,1,0.5,4,24.64
0.25,1,0.5,0,23.8
0.25,1,0.5,1,21.54
0.25,1,0.5,2,25.72
0.25,1,0.5,3,24.98
0.25,1,0.5,4,18.58
0.275,1,0.5,0,17.98
0.275,1,0.5,1,25.6
0.275,1,0.5,2,23.34
0.275,1,0.5,3,25.16
0.275,1,0.5,4,25.32
0.3,1,0.5,0,22.34
0.3,1,0.5,1,24.12
0.3,1,0.5,2,20.18
0.3,1,0.5,3,23.86
0.3,1,0.5,4,25.52
0.325,1,0.5,0,24.02
0.325,1,0.5,1,22.62
0.325,1,0.5,2,21.36
0.325,1,0.5,3,22.82
0.325,1,0.5,4,23.28
0.35,1,0.5,0,23.78
0.35,1,0.5,1,22.72
0.35,1,0.5,2,20.04
0.35,1,0.5,3,20.32
0.35,1,0.5,4,21.84
0.375,1,0.5,0,23.74
0.375,1,0.5,1,20.12
0.375,1,0.5,2,19.58
0.375,1,0.5,3,21.48
0.375,1,0.5,4,19.54
0.4,1,0.5,0,21.78
0.4,1,0.5,1,21.06
0.4,1,0.5,2,19.22
0.4,1,0.5,3,20.3
0.4,1,0.5,4,16.96
0.425,1,0.5,0,19.4
0.425,1,0.5,1,20.16
0.425,1,0.5,2,18.54
0.425,1,0.5,3,20.8
0.425,1,0.5,4,19.34
0.45,1,0.5,0,18.94
0.45,1,0.5,1,18.9
0.45,1,0.5,2,22.14
0.45,1,0.5,3,17.36
0.45,1,0.5,4,18.1
0.475,1,0.5,0,18.1
0.475,1,0.5,1,20.16
0.475,1,0.5,2,20.56
0.475,1,0.5,3,20.38
0.475,1,0.5,4,18.26
0.5,1,0.5,0,19.56
0.5,1,0.5,1,20.0
0.5,1,0.5,2,17.74
0.5,1,0.5,3,18.32
0.5,1,0.5,4,17.92
0.525,1,0.5,0,20.88
0.525,1,0.5,1,18.2
0.525,1,0.5,2,17.8
0.525,1,0.5,3,18.66
0.525,1,0.5,4,18.92
0.55,1,0.5,0,18.1
0.55,1,0.5,1,19.62
0.55,1,0.5,2,19.88
0.55,1,0.5,3,19.62
0.55,1,0.5,4,18.2
0.575,1,0.5,0,18.24
0.575,1,0.5,1,18.8
0.575,1,0.5,2,20.52
0.575,1,0.5,3,19.26
0.575,1,0.5,4,19.44
0.6,1,0.5,0,19.8
0.6,1,0.5,1,19.72
0.6,1,0.5,2,20.52
0.6,1,0.5,3,19.62
0.6,1,0.5,4,19.62
0.625,1,0.5,0,21.0
0.625,1,0.5,1,17.86
0.625,1,0.5,2,19.92
0.625,1,0.5,3,18.44
0.625,1,0.5,4,18.9
0.65,1,0.5,0,19.88
0.65,1,0.5,1,18.46
0.65,1,0.5,2,17.28
0.65,1,0.5,3,18.76
0.65,1,0.5,4,19.74
0.675,1,0.5,0,17.92
0.675,1,0.5,1,17.92
0.675,1,0.5,2,17.84
0.675,1,0.5,3,20.34
0.675,1,0.5,4,18.16
0.7,1,0.5,0,17.24
0.7,1,0.5,1,18.06
0.7,1,0.5,2,18.76
0.7,1,0.5,3,4.04
0.7,1,0.5,4,18.92
0.725,1,0.5,0,20.0
0.725,1,0.5,1,19.64
0.725,1,0.5,2,3.2
0.725,1,0.5,3,19.04
0.725,1,0.5,4,4.68
0.75,1,0.5,0,3.0
0.75,1,0.5,1,17.86
0.75,1,0.5,2,3.94
0.75,1,0.5,3,18.74
0.75,1,0.5,4,14.44
0.775,1,0.5,0,19.52
0.775,1,0.5,1,2.8
0.775,1,0.5,2,2.56
0.775,1,0.5,3,3.0
0.775,1,0.5,4,2.82
0.8,1,0.5,0,2.96
