c_w,d_tresh,numGapJns,rep,spikeRate
0.0,0.0,0.0,0,26.8
0.0,0.0,0.0,1,24.52
0.0,0.0,0.0,2,27.06
0.2,0.0,0.0,0,25.74
0.2,0.0,0.0,1,23.76
0.2,0.0,0.0,2,24.34
0.4,0.0,0.0,0,0.26
0.4,0.0,0.0,1,25.52
0.4,0.0,0.0,2,26.52
0.6,0.0,0.0,0,25.74
0.6,0.0,0.0,1,25.9
0.6,0.0,0.0,2,25.38
0.8,0.0,0.0,0,26.46
0.8,0.0,0.0,1,26.08
0.8,0.0,0.0,2,24.86
1.0,0.0,0.0,0,26.0
1.0,0.0,0.0,1,21.96
1.0,0.0,0.0,2,26.14
1.2,0.0,0.0,0,26.02
1.2,0.0,0.0,1,25.48
1.2,0.0,0.0,2,25.84
1.4,0.0,0.0,0,24.0
1.4,0.0,0.0,1,23.76
1.4,0.0,0.0,2,25.5
1.6,0.0,0.0,0,27.64
1.6,0.0,0.0,1,26.04
1.6,0.0,0.0,2,25.48
1.8,0.0,0.0,0,27.76
1.8,0.0,0.0,1,26.28
1.8,0.0,0.0,2,25.68
2.0,0.0,0.0,0,24.66
2.0,0.0,0.0,1,26.06
2.0,0.0,0.0,2,23.78
2.2,0.0,0.0,0,26.26
2.2,0.0,0.0,1,26.36
2.2,0.0,0.0,2,24.02
2.4,0.0,0.0,0,23.76
2.4,0.0,0.0,1,22.74
2.4,0.0,0.0,2,25.52
2.6,0.0,0.0,0,25.56
2.6,0.0,0.0,1,25.86
2.6,0.0,0.0,2,27.12
2.8,0.0,0.0,0,26.0
2.8,0.0,0.0,1,19.86
2.8,0.0,0.0,2,26.24
3.0,0.0,0.0,0,25.7
3.0,0.0,0.0,1,27.24
3.0,0.0,0.0,2,25.74
3.2,0.0,0.0,0,25.18
3.2,0.0,0.0,1,27.44
3.2,0.0,0.0,2,23.5
3.4,0.0,0.0,0,26.92
3.4,0.0,0.0,1,25.62
3.4,0.0,0.0,2,27.26
3.6,0.0,0.0,0,23.86
3.6,0.0,0.0,1,25.8
3.6,0.0,0.0,2,25.48
3.8,0.0,0.0,0,26.0
3.8,0.0,0.0,1,27.44
3.8,0.0,0.0,2,25.26
0.0,0.1,0.0,0,25.74
0.0,0.1,0.0,1,26.0
0.0,0.1,0.0,2,26.0
0.2,0.1,0.0,0,26.18
0.2,0.1,0.0,1,23.88
0.2,0.1,0.0,2,27.72
0.4,0.1,0.0,0,26.62
0.4,0.1,0.0,1,25.74
0.4,0.1,0.0,2,27.26
0.6,0.1,0.0,0,26.42
0.6,0.1,0.0,1,25.74
0.6,0.1,0.0,2,26.22
0.8,0.1,0.0,0,23.76
0.8,0.1,0.0,1,26.98
0.8,0.1,0.0,2,24.5
1.0,0.1,0.0,0,25.86
1.0,0.1,0.0,1,25.82
1.0,0.1,0.0,2,27.28
1.2,0.1,0.0,0,26.64
1.2,0.1,0.0,1,25.52
1.2,0.1,0.0,2,23.76
1.4,0.1,0.0,0,22.16
1.4,0.1,0.0,1,25.48
1.4,0.1,0.0,2,26.0
1.6,0.1,0.0,0,26.68
1.6,0.1,0.0,1,26.94
1.6,0.1,0.0,2,27.42
1.8,0.1,0.0,0,27.06
1.8,0.1,0.0,1,25.48
1.8,0.1,0.0,2,25.34
2.0,0.1,0.0,0,26.84
2.0,0.1,0.0,1,25.48
2.0,0.1,0.0,2,25.64
2.2,0.1,0.0,0,26.14
2.2,0.1,0.0,1,25.6
2.2,0.1,0.0,2,25.42
2.4,0.1,0.0,0,26.44
2.4,0.1,0.0,1,26.08
2.4,0.1,0.0,2,24.14
2.6,0.1,0.0,0,26.0
2.6,0.1,0.0,1,24.02
2.6,0.1,0.0,2,25.72
2.8,0.1,0.0,0,26.32
2.8,0.1,0.0,1,26.68
2.8,0.1,0.0,2,26.0
3.0,0.1,0.0,0,26.04
3.0,0.1,0.0,1,25.48
3.0,0.1,0.0,2,23.9
3.2,0.1,0.0,0,25.24
3.2,0.1,0.0,1,25.74
3.2,0.1,0.0,2,25.48
3.4,0.1,0.0,0,25.84
3.4,0.1,0.0,1,27.54
3.4,0.1,0.0,2,25.8
3.6,0.1,0.0,0,27.52
3.6,0.1,0.0,1,24.06
3.6,0.1,0.0,2,26.34
3.8,0.1,0.0,0,25.24
3.8,0.1,0.0,1,24.02
3.8,0.1,0.0,2,27.68
0.0,0.2,0.0,0,26.92
0.0,0.2,0.0,1,24.98
0.0,0.2,0.0,2,26.0
0.2,0.2,0.0,0,23.88
0.2,0.2,0.0,1,25.9
0.2,0.2,0.0,2,25.86
0.4,0.2,0.0,0,27.06
0.4,0.2,0.0,1,25.68
0.4,0.2,0.0,2,25.74
0.6,0.2,0.0,0,25.94
0.6,0.2,0.0,1,25.54
0.6,0.2,0.0,2,24.56
0.8,0.2,0.0,0,25.36
0.8,0.2,0.0,1,26.74
0.8,0.2,0.0,2,23.76
1.0,0.2,0.0,0,26.22
1.0,0.2,0.0,1,24.02
1.0,0.2,0.0,2,23.76
1.2,0.2,0.0,0,26.0
1.2,0.2,0.0,1,24.12
1.2,0.2,0.0,2,24.6
1.4,0.2,0.0,0,27.06
1.4,0.2,0.0,1,26.2
1.4,0.2,0.0,2,24.0
1.6,0.2,0.0,0,25.38
1.6,0.2,0.0,1,25.74
1.6,0.2,0.0,2,24.08
1.8,0.2,0.0,0,25.48
1.8,0.2,0.0,1,23.96
1.8,0.2,0.0,2,26.32
2.0,0.2,0.0,0,26.1
2.0,0.2,0.0,1,26.66
2.0,0.2,0.0,2,24.6
2.2,0.2,0.0,0,25.94
2.2,0.2,0.0,1,25.48
2.2,0.2,0.0,2,25.74
2.4,0.2,0.0,0,23.76
2.4,0.2,0.0,1,25.48
2.4,0.2,0.0,2,26.0
2.6,0.2,0.0,0,26.26
2.6,0.2,0.0,1,23.56
2.6,0.2,0.0,2,27.42
2.8,0.2,0.0,0,26.94
2.8,0.2,0.0,1,20.02
