c_w,k,numGapJns,rep,spikeRate
0.0,0,0.0,0,1.3
0.0,0,0.0,1,1.14
0.0,0,0.0,2,67.58
0.2,0,0.0,0,1.94
0.2,0,0.0,1,0.82
0.2,0,0.0,2,1.9
0.4,0,0.0,0,0.66
0.4,0,0.0,1,53.62
0.4,0,0.0,2,3.52
0.6,0,0.0,0,1.52
0.6,0,0.0,1,68.94
0.6,0,0.0,2,60.88
0.8,0,0.0,0,2.82
0.8,0,0.0,1,1.5
0.8,0,0.0,2,57.36
1.0,0,0.0,0,1.8
1.0,0,0.0,1,0.82
1.0,0,0.0,2,58.06
1.2,0,0.0,0,56.22
1.2,0,0.0,1,1.72
1.2,0,0.0,2,6.74
1.4,0,0.0,0,1.66
1.4,0,0.0,1,0.82
1.4,0,0.0,2,51.98
1.6,0,0.0,0,5.6
1.6,0,0.0,1,2.84
1.6,0,0.0,2,0.98
1.8,0,0.0,0,1.66
1.8,0,0.0,1,1.78
1.8,0,0.0,2,69.72
2.0,0,0.0,0,1.5
2.0,0,0.0,1,63.0
2.0,0,0.0,2,1.3
2.2,0,0.0,0,3.22
2.2,0,0.0,1,5.36
2.2,0,0.0,2,1.14
2.4,0,0.0,0,0.98
2.4,0,0.0,1,0.82
2.4,0,0.0,2,1.46
2.6,0,0.0,0,1.14
2.6,0,0.0,1,0.98
2.6,0,0.0,2,1.3
2.8,0,0.0,0,62.3
2.8,0,0.0,1,0.98
2.8,0,0.0,2,1.46
3.0,0,0.0,0,1.14
3.0,0,0.0,1,1.2
3.0,0,0.0,2,1.68
3.2,0,0.0,0,1.28
3.2,0,0.0,1,1.04
3.2,0,0.0,2,0.82
3.4,0,0.0,0,56.66
3.4,0,0.0,1,1.76
3.4,0,0.0,2,68.12
3.6,0,0.0,0,0.82
3.6,0,0.0,1,1.14
3.6,0,0.0,2,1.3
3.8,0,0.0,0,1.14
3.8,0,0.0,1,2.32
3.8,0,0.0,2,1.78
0.0,1,0.0,0,68.58
0.0,1,0.0,1,75.32
0.0,1,0.0,2,1.14
0.2,1,0.5,0,64.84
0.2,1,0.5,1,1.22
0.2,1,0.5,2,58.88
0.4,1,0.5,0,64.0
0.4,1,0.5,1,0.98
0.4,1,0.5,2,2.58
0.6,1,0.5,0,3.76
0.6,1,0.5,1,3.38
0.6,1,0.5,2,57.06
0.8,1,0.5,0,0.88
0.8,1,0.5,1,1.26
0.8,1,0.5,2,1.4
1.0,1,0.5,0,67.54
1.0,1,0.5,1,2.58
1.0,1,0.5,2,61.4
1.2,1,0.5,0,1.76
1.2,1,0.5,1,1.6
1.2,1,0.5,2,1.0
1.4,1,0.5,0,0.8
1.4,1,0.5,1,2.42
1.4,1,0.5,2,1.94
1.6,1,0.5,0,59.84
1.6,1,0.5,1,1.58
1.6,1,0.5,2,1.46
1.8,1,0.5,0,1.64
1.8,1,0.5,1,0.94
1.8,1,0.5,2,1.48
2.0,1,0.5,0,1.24
2.0,1,0.5,1,62.12
2.0,1,0.5,2,0.9
2.2,1,0.5,0,70.36
2.2,1,0.5,1,63.44
2.2,1,0.5,2,1.74
2.4,1,0.5,0,1.84
2.4,1,0.5,1,69.58
2.4,1,0.5,2,0.9
2.6,1,0.5,0,0.88
2.6,1,0.5,1,1.4
2.6,1,0.5,2,62.0
2.8,1,0.5,0,0.72
2.8,1,0.5,1,1.78
2.8,1,0.5,2,0.9
3.0,1,0.5,0,2.12
3.0,1,0.5,1,67.48
3.0,1,0.5,2,1.16
3.2,1,0.5,0,0.98
3.2,1,0.5,1,1.0
3.2,1,0.5,2,1.34
3.4,1,0.5,0,0.88
3.4,1,0.5,1,70.08
3.4,1,0.5,2,1.04
3.6,1,0.5,0,1.44
3.6,1,0.5,1,0.96
3.6,1,0.5,2,1.32
3.8,1,0.5,0,0.84
3.8,1,0.5,1,0.82
3.8,1,0.5,2,1.1
0.0,2,0.0,0,1.94
0.0,2,0.0,1,1.4
0.0,2,0.0,2,1.72
0.2,2,1.0,0,0.82
0.2,2,1.0,1,63.62
0.2,2,1.0,2,46.84
0.4,2,1.0,0,2.32
0.4,2,1.0,1,1.42
0.4,2,1.0,2,1.6
0.6,2,1.0,0,2.5
0.6,2,1.0,1,73.06
0.6,2,1.0,2,1.4
0.8,2,1.0,0,0.76
0.8,2,1.0,1,52.12
0.8,2,1.0,2,1.32
1.0,2,1.0,0,2.36
1.0,2,1.0,1,1.12
1.0,2,1.0,2,0.88
1.2,2,1.0,0,1.5
1.2,2,1.0,1,1.76
1.2,2,1.0,2,1.76
1.4,2,1.0,0,2.08
1.4,2,1.0,1,1.3
1.4,2,1.0,2,1.08
1.6,2,1.0,0,0.76
1.6,2,1.0,1,1.48
1.6,2,1.0,2,1.26
1.8,2,1.0,0,1.16
1.8,2,1.0,1,1.46
1.8,2,1.0,2,3.4
2.0,2,1.0,0,1.82
2.0,2,1.0,1,65.48
2.0,2,1.0,2,1.02
2.2,2,1.0,0,1.02
2.2,2,1.0,1,0.62
2.2,2,1.0,2,0.94
2.4,2,1.0,0,1.0
2.4,2,1.0,1,1.0
2.4,2,1.0,2,0.92
2.6,2,1.0,0,0.74
2.6,2,1.0,1,1.48
2.6,2,1.0,2,0.64
2.8,2,1.0,0,1.58
2.8,2,1.0,1,0.6
2.8,2,1.0,2,1.98
3.0,2,1.0,0,0.7
3.0,2,1.0,1,0.94
3.0,2,1.0,2,79.84
3.2,2,1.0,0,1.56
3.2,2,1.0,1,1.44
3.2,2,1.0,2,65.32
3.4,2,1.0,0,0.64
3.4,2,1.0,1,0.6
3.4,2,1.0,2,64.22
3.6,2,1.0,0,0.6
3.6,2,1.0,1,0.7
3.6,2,1.0,2,0.6
3.8,2,1.0,0,0.58
3.8,2,1.0,1,0.72
3.8,2,1.0,2,0.86
0.0,3,0.0,0,2.08
0.0,3,0.0,1,1.3
0.0,3,0.0,2,57.9
0.2,3,1.5,0,1.7
0.2,3,1.5,1,1.46
0.2,3,1.5,2,58.72
0.4,3,1.5,0,60.98
0.4,3,1.5,1,2.6
0.4,3,1.5,2,1.08
0.6,3,1.5,0,2.48
0.6,3,1.5,1,59.84
0.6,3,1.5,2,2.64
0.8,3,1.5,0,57.7
0.8,3,1.5,1,65.9
0.8,3,1.5,2,1.34
1.0,3,1.5,0,0.68
