c_w,k,numGapJns,rep,spikeRate
0.0,0,0.0,0,1.22
0.0,0,0.0,1,0.9
0.0,0,0.0,2,59.3
0.2,0,0.0,0,1.84
0.2,0,0.0,1,0.86
0.2,0,0.0,2,1.64
0.4,0,0.0,0,0.66
0.4,0,0.0,1,39.02
0.4,0,0.0,2,2.32
0.6,0,0.0,0,1.64
0.6,0,0.0,1,53.06
0.6,0,0.0,2,49.08
0.8,0,0.0,0,2.16
0.8,0,0.0,1,1.56
0.8,0,0.0,2,2.42
1.0,0,0.0,0,1.74
1.0,0,0.0,1,0.66
1.0,0,0.0,2,49.0
1.2,0,0.0,0,45.62
1.2,0,0.0,1,1.82
1.2,0,0.0,2,5.92
1.4,0,0.0,0,1.78
1.4,0,0.0,1,0.86
1.4,0,0.0,2,1.44
1.6,0,0.0,0,2.6
1.6,0,0.0,1,3.12
1.6,0,0.0,2,0.98
1.8,0,0.0,0,1.36
1.8,0,0.0,1,2.08
1.8,0,0.0,2,57.4
2.0,0,0.0,0,1.5
2.0,0,0.0,1,50.24
2.0,0,0.0,2,1.14
2.2,0,0.0,0,3.1
2.2,0,0.0,1,1.94
2.2,0,0.0,2,0.98
2.4,0,0.0,0,0.82
2.4,0,0.0,1,0.72
2.4,0,0.0,2,1.22
2.6,0,0.0,0,1.1
2.6,0,0.0,1,0.9
2.6,0,0.0,2,1.08
2.8,0,0.0,0,50.08
2.8,0,0.0,1,0.78
2.8,0,0.0,2,1.46
3.0,0,0.0,0,1.28
3.0,0,0.0,1,1.42
3.0,0,0.0,2,1.44
3.2,0,0.0,0,1.1
3.2,0,0.0,1,0.98
3.2,0,0.0,2,0.86
3.4,0,0.0,0,1.68
3.4,0,0.0,1,1.44
3.4,0,0.0,2,56.32
3.6,0,0.0,0,0.78
3.6,0,0.0,1,1.02
3.6,0,0.0,2,1.04
3.8,0,0.0,0,1.2
3.8,0,0.0,1,2.24
3.8,0,0.0,2,1.76
0.0,1,0.0,0,55.76
0.0,1,0.0,1,2.06
0.0,1,0.0,2,1.18
0.2,1,0.5,0,50.46
0.2,1,0.5,1,1.14
0.2,1,0.5,2,4.54
0.4,1,0.5,0,7.22
0.4,1,0.5,1,0.76
0.4,1,0.5,2,2.28
0.6,1,0.5,0,1.44
0.6,1,0.5,1,2.16
0.6,1,0.5,2,44.38
0.8,1,0.5,0,0.72
0.8,1,0.5,1,1.22
0.8,1,0.5,2,1.48
1.0,1,0.5,0,54.36
1.0,1,0.5,1,1.92
1.0,1,0.5,2,6.84
1.2,1,0.5,0,1.8
1.2,1,0.5,1,2.06
1.2,1,0.5,2,1.04
1.4,1,0.5,0,0.66
1.4,1,0.5,1,2.12
1.4,1,0.5,2,1.46
1.6,1,0.5,0,48.0
1.6,1,0.5,1,1.16
1.6,1,0.5,2,1.32
1.8,1,0.5,0,1.56
1.8,1,0.5,1,0.88
1.8,1,0.5,2,1.4
2.0,1,0.5,0,0.7
2.0,1,0.5,1,2.92
2.0,1,0.5,2,0.86
2.2,1,0.5,0,56.14
2.2,1,0.5,1,8.1
2.2,1,0.5,2,1.5
2.4,1,0.5,0,1.36
2.4,1,0.5,1,59.14
2.4,1,0.5,2,1.02
2.6,1,0.5,0,0.84
2.6,1,0.5,1,1.38
2.6,1,0.5,2,3.14
2.8,1,0.5,0,0.72
2.8,1,0.5,1,1.24
2.8,1,0.5,2,0.84
3.0,1,0.5,0,1.76
3.0,1,0.5,1,3.2
3.0,1,0.5,2,1.1
3.2,1,0.5,0,0.7
3.2,1,0.5,1,0.9
3.2,1,0.5,2,1.24
3.4,1,0.5,0,0.62
