c_w,k,numGapJns,rep,spikeRate
0.0,0,0.0,0,1.34
0.0,0,0.0,1,2.44
0.0,0,0.0,2,0.94
0.2,0,0.0,0,57.38
0.2,0,0.0,1,1.66
0.2,0,0.0,2,1.06
0.4,0,0.0,0,56.24
0.4,0,0.0,1,1.66
0.4,0,0.0,2,1.5
0.6,0,0.0,0,66.76
0.6,0,0.0,1,1.06
0.6,0,0.0,2,72.72
0.8,0,0.0,0,1.22
0.8,0,0.0,1,0.92
0.8,0,0.0,2,70.52
1.0,0,0.0,0,0.88
1.0,0,0.0,1,1.32
1.0,0,0.0,2,1.1
1.2,0,0.0,0,62.86
1.2,0,0.0,1,1.02
1.2,0,0.0,2,57.1
1.4,0,0.0,0,1.12
1.4,0,0.0,1,54.88
1.4,0,0.0,2,1.22
1.6,0,0.0,0,68.14
1.6,0,0.0,1,1.18
1.6,0,0.0,2,0.76
1.8,0,0.0,0,1.12
1.8,0,0.0,1,1.12
1.8,0,0.0,2,1.4
2.0,0,0.0,0,1.0
2.0,0,0.0,1,58.22
2.0,0,0.0,2,0.84
2.2,0,0.0,0,56.42
2.2,0,0.0,1,1.04
2.2,0,0.0,2,1.12
2.4,0,0.0,0,2.22
2.4,0,0.0,1,2.14
2.4,0,0.0,2,1.7
2.6,0,0.0,0,65.6
2.6,0,0.0,1,0.98
2.6,0,0.0,2,72.48
2.8,0,0.0,0,61.12
2.8,0,0.0,1,20.58
2.8,0,0.0,2,53.8
3.0,0,0.0,0,1.08
3.0,0,0.0,1,2.68
3.0,0,0.0,2,1.38
3.2,0,0.0,0,2.34
3.2,0,0.0,1,2.26
3.2,0,0.0,2,1.98
3.4,0,0.0,0,1.5
3.4,0,0.0,1,1.44
3.4,0,0.0,2,60.44
3.6,0,0.0,0,56.68
3.6,0,0.0,1,58.7
3.6,0,0.0,2,0.9
3.8,0,0.0,0,64.02
3.8,0,0.0,1,0.66
3.8,0,0.0,2,47.54
0.0,1,0.0,0,1.64
0.0,1,0.0,1,1.64
0.0,1,0.0,2,40.76
0.2,1,0.5,0,1.0
0.2,1,0.5,1,75.8
0.2,1,0.5,2,1.12
0.4,1,0.5,0,1.78
0.4,1,0.5,1,0.98
0.4,1,0.5,2,1.1
0.6,1,0.5,0,1.2
0.6,1,0.5,1,2.02
0.6,1,0.5,2,59.6
0.8,1,0.5,0,1.5
0.8,1,0.5,1,1.44
0.8,1,0.5,2,1.66
1.0,1,0.5,0,1.78
1.0,1,0.5,1,1.58
1.0,1,0.5,2,3.14
1.2,1,0.5,0,0.9
1.2,1,0.5,1,1.42
1.2,1,0.5,2,60.96
1.4,1,0.5,0,6.06
1.4,1,0.5,1,0.64
1.4,1,0.5,2,1.18
1.6,1,0.5,0,1.06
1.6,1,0.5,1,0.92
1.6,1,0.5,2,1.28
1.8,1,0.5,0,64.98
1.8,1,0.5,1,0.8
1.8,1,0.5,2,1.6
2.0,1,0.5,0,0.72
2.0,1,0.5,1,1.0
2.0,1,0.5,2,0.88
2.2,1,0.5,0,1.2
2.2,1,0.5,1,1.1
2.2,1,0.5,2,1.14
2.4,1,0.5,0,0.8
2.4,1,0.5,1,59.22
2.4,1,0.5,2,0.8
2.6,1,0.5,0,66.82
2.6,1,0.5,1,1.2
2.6,1,0.5,2,0.98
2.8,1,0.5,0,2.4
2.8,1,0.5,1,2.84
2.8,1,0.5,2,2.22
3.0,1,0.5,0,72.26
3.0,1,0.5,1,1.78
3.0,1,0.5,2,67.84
3.2,1,0.5,0,0.78
3.2,1,0.5,1,33.46
3.2,1,0.5,2,0.62
3.4,1,0.5,0,1.34
3.4,1,0.5,1,1.08
3.4,1,0.5,2,52.02
