c_w,k,numGapJns,rep,spikeRate
0.0,0,0.0,0,70.9
0.0,0,0.0,1,70.14
0.0,0,0.0,2,69.48
0.2,0,0.0,0,73.68
0.2,0,0.0,1,71.78
0.2,0,0.0,2,71.08
0.4,0,0.0,0,72.68
0.4,0,0.0,1,43.4
0.4,0,0.0,2,72.48
0.6,0,0.0,0,71.34
0.6,0,0.0,1,74.16
0.6,0,0.0,2,72.12
0.8,0,0.0,0,72.1
0.8,0,0.0,1,7.86
0.8,0,0.0,2,70.98
1.0,0,0.0,0,71.78
1.0,0,0.0,1,72.6
1.0,0,0.0,2,55.3
1.2,0,0.0,0,71.5
1.2,0,0.0,1,72.14
1.2,0,0.0,2,56.0
1.4,0,0.0,0,70.84
1.4,0,0.0,1,73.74
1.4,0,0.0,2,69.84
1.6,0,0.0,0,73.88
1.6,0,0.0,1,73.72
1.6,0,0.0,2,71.08
1.8,0,0.0,0,72.0
1.8,0,0.0,1,70.62
1.8,0,0.0,2,1.3
2.0,0,0.0,0,13.08
2.0,0,0.0,1,71.48
2.0,0,0.0,2,70.64
2.2,0,0.0,0,3.92
2.2,0,0.0,1,73.94
2.2,0,0.0,2,71.46
2.4,0,0.0,0,71.54
2.4,0,0.0,1,71.24
2.4,0,0.0,2,73.34
2.6,0,0.0,0,66.8
2.6,0,0.0,1,69.0
2.6,0,0.0,2,74.46
2.8,0,0.0,0,4.96
2.8,0,0.0,1,71.78
2.8,0,0.0,2,72.44
3.0,0,0.0,0,69.74
3.0,0,0.0,1,3.74
3.0,0,0.0,2,69.32
3.2,0,0.0,0,70.86
3.2,0,0.0,1,72.1
3.2,0,0.0,2,71.92
3.4,0,0.0,0,71.34
3.4,0,0.0,1,71.58
3.4,0,0.0,2,24.8
3.6,0,0.0,0,74.36
3.6,0,0.0,1,66.76
3.6,0,0.0,2,69.64
3.8,0,0.0,0,70.66
3.8,0,0.0,1,71.96
3.8,0,0.0,2,71.7
0.0,1,0.0,0,72.32
0.0,1,0.0,1,70.16
0.0,1,0.0,2,55.54
0.2,1,0.5,0,72.42
0.2,1,0.5,1,70.04
0.2,1,0.5,2,2.72
0.4,1,0.5,0,70.86
0.4,1,0.5,1,69.02
0.4,1,0.5,2,71.38
0.6,1,0.5,0,70.3
0.6,1,0.5,1,8.22
0.6,1,0.5,2,71.1
0.8,1,0.5,0,70.66
0.8,1,0.5,1,73.06
0.8,1,0.5,2,65.56
1.0,1,0.5,0,72.34
1.0,1,0.5,1,73.36
1.0,1,0.5,2,70.46
1.2,1,0.5,0,72.84
1.2,1,0.5,1,71.0
1.2,1,0.5,2,70.42
1.4,1,0.5,0,72.54
1.4,1,0.5,1,55.46
1.4,1,0.5,2,62.86
1.6,1,0.5,0,66.2
1.6,1,0.5,1,30.26
1.6,1,0.5,2,1.7
1.8,1,0.5,0,73.2
1.8,1,0.5,1,71.88
1.8,1,0.5,2,72.2
2.0,1,0.5,0,72.56
2.0,1,0.5,1,65.2
2.0,1,0.5,2,72.16
2.2,1,0.5,0,1.34
2.2,1,0.5,1,71.74
2.2,1,0.5,2,68.52
2.4,1,0.5,0,64.54
2.4,1,0.5,1,71.08
2.4,1,0.5,2,72.02
2.6,1,0.5,0,73.28
2.6,1,0.5,1,60.8
2.6,1,0.5,2,1.44
2.8,1,0.5,0,59.12
2.8,1,0.5,1,17.14
2.8,1,0.5,2,1.86
3.0,1,0.5,0,75.46
3.0,1,0.5,1,1.46
3.0,1,0.5,2,73.18
3.2,1,0.5,0,72.8
3.2,1,0.5,1,69.98
3.2,1,0.5,2,68.16
3.4,1,0.5,0,72.18
3.4,1,0.5,1,1.64
3.4,1,0.5,2,72.4
3.6,1,0.5,0,2.56
3.6,1,0.5,1,69.38
3.6,1,0.5,2,71.34
3.8,1,0.5,0,72.7
3.8,1,0.5,1,4.8
3.8,1,0.5,2,67.64
0.0,2,0.0,0,72.32
0.0,2,0.0,1,69.64
0.0,2,0.0,2,70.72
0.2,2,1.0,0,71.14
0.2,2,1.0,1,70.44
0.2,2,1.0,2,72.26
0.4,2,1.0,0,71.9
0.4,2,1.0,1,73.76
0.4,2,1.0,2,71.22
0.6,2,1.0,0,72.44
0.6,2,1.0,1,73.84
0.6,2,1.0,2,72.06
0.8,2,1.0,0,9.3
0.8,2,1.0,1,71.74
0.8,2,1.0,2,62.76
1.0,2,1.0,0,49.78
1.0,2,1.0,1,1.02
1.0,2,1.0,2,74.02
1.2,2,1.0,0,70.06
1.2,2,1.0,1,72.78
1.2,2,1.0,2,4.3
1.4,2,1.0,0,2.68
1.4,2,1.0,1,64.64
1.4,2,1.0,2,1.06
1.6,2,1.0,0,70.2
1.6,2,1.0,1,72.6
1.6,2,1.0,2,72.1
1.8,2,1.0,0,70.06
1.8,2,1.0,1,71.12
1.8,2,1.0,2,35.42
2.0,2,1.0,0,2.22
2.0,2,1.0,1,1.22
2.0,2,1.0,2,71.54
2.2,2,1.0,0,57.5
2.2,2,1.0,1,71.62
2.2,2,1.0,2,71.5
2.4,2,1.0,0,70.6
2.4,2,1.0,1,74.22
2.4,2,1.0,2,74.48
2.6,2,1.0,0,17.1
2.6,2,1.0,1,0.92
2.6,2,1.0,2,71.62
2.8,2,1.0,0,0.74
2.8,2,1.0,1,65.54
2.8,2,1.0,2,73.6
3.0,2,1.0,0,1.4
3.0,2,1.0,1,2.2
3.0,2,1.0,2,1.38
3.2,2,1.0,0,71.52
3.2,2,1.0,1,1.1
3.2,2,1.0,2,1.84
3.4,2,1.0,0,1.4
3.4,2,1.0,1,70.18
3.4,2,1.0,2,2.56
3.6,2,1.0,0,39.36
3.6,2,1.0,1,71.8
3.6,2,1.0,2,67.8
3.8,2,1.0,0,64.94
3.8,2,1.0,1,50.62
