c_w,d_tresh,numGapJns,rep,spikeRate
0.0,0.0,0.0,0,1.04
0.0,0.0,0.0,1,1.1
0.0,0.0,0.0,2,105.52
0.2,0.0,0.0,0,88.68
0.2,0.0,0.0,1,8.0
0.2,0.0,0.0,2,69.44
0.4,0.0,0.0,0,67.9
0.4,0.0,0.0,1,1.26
0.4,0.0,0.0,2,1.76
0.6,0.0,0.0,0,0.66
0.6,0.0,0.0,1,84.3
0.6,0.0,0.0,2,96.12
0.8,0.0,0.0,0,1.48
0.8,0.0,0.0,1,85.24
0.8,0.0,0.0,2,85.46
1.0,0.0,0.0,0,94.14
1.0,0.0,0.0,1,79.78
1.0,0.0,0.0,2,0.66
1.2,0.0,0.0,0,76.86
1.2,0.0,0.0,1,75.14
1.2,0.0,0.0,2,100.04
1.4,0.0,0.0,0,1.12
1.4,0.0,0.0,1,6.62
1.4,0.0,0.0,2,0.84
1.6,0.0,0.0,0,0.84
1.6,0.0,0.0,1,2.38
1.6,0.0,0.0,2,2.6
1.8,0.0,0.0,0,86.2
1.8,0.0,0.0,1,1.78
1.8,0.0,0.0,2,0.9
2.0,0.0,0.0,0,91.76
2.0,0.0,0.0,1,82.6
2.0,0.0,0.0,2,1.26
2.2,0.0,0.0,0,67.88
2.2,0.0,0.0,1,77.64
2.2,0.0,0.0,2,1.64
2.4,0.0,0.0,0,0.88
2.4,0.0,0.0,1,72.84
2.4,0.0,0.0,2,1.92
2.6,0.0,0.0,0,0.98
2.6,0.0,0.0,1,1.1
2.6,0.0,0.0,2,50.42
2.8,0.0,0.0,0,1.5
2.8,0.0,0.0,1,69.34
2.8,0.0,0.0,2,1.98
3.0,0.0,0.0,0,1.44
3.0,0.0,0.0,1,82.94
3.0,0.0,0.0,2,1.12
3.2,0.0,0.0,0,82.2
3.2,0.0,0.0,1,77.68
3.2,0.0,0.0,2,2.8
3.4,0.0,0.0,0,71.42
3.4,0.0,0.0,1,77.94
3.4,0.0,0.0,2,81.26
3.6,0.0,0.0,0,76.24
3.6,0.0,0.0,1,2.08
3.6,0.0,0.0,2,79.96
3.8,0.0,0.0,0,74.74
3.8,0.0,0.0,1,77.4
3.8,0.0,0.0,2,73.76
0.0,0.1,0.0,0,2.08
0.0,0.1,0.0,1,88.14
0.0,0.1,0.0,2,70.46
0.2,0.1,0.01,0,2.04
0.2,0.1,0.03,1,1.16
0.2,0.1,0.01,2,0.8
0.4,0.1,0.01,0,72.92
0.4,0.1,0.05,1,1.98
0.4,0.1,0.01,2,0.96
0.6,0.1,0.01,0,1.22
0.6,0.1,0.02,1,0.76
0.6,0.1,0.0,2,69.28
0.8,0.1,0.0,0,81.76
0.8,0.1,0.01,1,65.3
0.8,0.1,0.02,2,83.18
1.0,0.1,0.02,0,80.32
1.0,0.1,0.02,1,1.22
1.0,0.1,0.0,2,2.02
1.2,0.1,0.01,0,89.58
1.2,0.1,0.02,1,70.4
1.2,0.1,0.03,2,80.48
1.4,0.1,0.0,0,61.6
1.4,0.1,0.01,1,92.0
1.4,0.1,0.02,2,0.8
1.6,0.1,0.02,0,1.04
1.6,0.1,0.0,1,0.86
1.6,0.1,0.0,2,80.32
1.8,0.1,0.01,0,1.26
1.8,0.1,0.0,1,76.8
1.8,0.1,0.01,2,82.28
2.0,0.1,0.01,0,80.12
2.0,0.1,0.01,1,72.5
2.0,0.1,0.0,2,83.04
2.2,0.1,0.01,0,1.98
2.2,0.1,0.02,1,65.8
2.2,0.1,0.01,2,0.68
2.4,0.1,0.01,0,90.46
2.4,0.1,0.03,1,80.98
2.4,0.1,0.01,2,0.84
2.6,0.1,0.0,0,77.68
2.6,0.1,0.0,1,1.34
2.6,0.1,0.02,2,0.98
2.8,0.1,0.0,0,1.12
2.8,0.1,0.02,1,71.32
2.8,0.1,0.02,2,81.82
3.0,0.1,0.01,0,71.04
3.0,0.1,0.02,1,1.16
3.0,0.1,0.02,2,79.3
3.2,0.1,0.01,0,1.96
3.2,0.1,0.03,1,73.58
3.2,0.1,0.02,2,84.68
3.4,0.1,0.02,0,78.06
3.4,0.1,0.03,1,94.08
3.4,0.1,0.03,2,0.86
3.6,0.1,0.01,0,74.06
3.6,0.1,0.01,1,75.72
3.6,0.1,0.02,2,0.98
3.8,0.1,0.01,0,91.2
3.8,0.1,0.02,1,79.96
3.8,0.1,0.02,2,74.32
0.0,0.2,0.0,0,82.06
0.0,0.2,0.0,1,93.04
0.0,0.2,0.0,2,1.98
0.2,0.2,0.03,0,82.12
0.2,0.2,0.03,1,71.52
0.2,0.2,0.08,2,90.82
0.4,0.2,0.09,0,77.32
0.4,0.2,0.04,1,84.4
0.4,0.2,0.05,2,0.88
0.6,0.2,0.07,0,0.92
0.6,0.2,0.06,1,1.1
0.6,0.2,0.05,2,78.34
0.8,0.2,0.05,0,95.16
0.8,0.2,0.07,1,1.04
0.8,0.2,0.11,2,1.1
1.0,0.2,0.05,0,83.26
1.0,0.2,0.09,1,69.32
1.0,0.2,0.07,2,93.16
1.2,0.2,0.04,0,78.26
1.2,0.2,0.03,1,1.56
1.2,0.2,0.06,2,86.14
1.4,0.2,0.06,0,85.76
1.4,0.2,0.05,1,1.0
1.4,0.2,0.09,2,0.66
1.6,0.2,0.07,0,1.4
1.6,0.2,0.06,1,85.42
1.6,0.2,0.12,2,90.0
1.8,0.2,0.05,0,81.3
1.8,0.2,0.05,1,0.98
1.8,0.2,0.12,2,88.1
2.0,0.2,0.05,0,82.1
2.0,0.2,0.1,1,67.94
2.0,0.2,0.06,2,80.5
2.2,0.2,0.07,0,93.4
2.2,0.2,0.07,1,71.12
2.2,0.2,0.09,2,93.9
2.4,0.2,0.06,0,95.18
2.4,0.2,0.05,1,1.48
2.4,0.2,0.04,2,0.66
2.6,0.2,0.04,0,93.76
2.6,0.2,0.01,1,1.06
2.6,0.2,0.03,2,71.92
2.8,0.2,0.1,0,82.38
2.8,0.2,0.04,1,0.88
2.8,0.2,0.09,2,77.16
3.0,0.2,0.06,0,82.04
3.0,0.2,0.05,1,1.04
3.0,0.2,0.07,2,71.66
3.2,0.2,0.07,0,79.64
3.2,0.2,0.09,1,2.72
3.2,0.2,0.05,2,87.18
3.4,0.2,0.05,0,57.98
3.4,0.2,0.07,1,76.84
3.4,0.2,0.05,2,69.58
3.6,0.2,0.08,0,73.72
3.6,0.2,0.09,1,1.4
3.6,0.2,0.07,2,10.5
3.8,0.2,0.1,0,91.12
3.8,0.2,0.08,1,0.82
3.8,0.2,0.05,2,78.46
0.0,0.3,0.0,0,76.8
0.0,0.3,0.0,1,1.08
0.0,0.3,0.0,2,0.74
0.2,0.3,0.09,0,72.94
0.2,0.3,0.15,1,79.74
0.2,0.3,0.16,2,86.16
0.4,0.3,0.1,0,1.82
0.4,0.3,0.17,1,79.66
0.4,0.3,0.16,2,95.82
0.6,0.3,0.22,0,0.88
0.6,0.3,0.16,1,78.4
0.6,0.3,0.13,2,87.28
0.8,0.3,0.14,0,85.0
0.8,0.3,0.18,1,93.94
0.8,0.3,0.15,2,88.5
1.0,0.3,0.15,0,1.04
1.0,0.3,0.13,1,80.48
1.0,0.3,0.15,2,73.88
1.2,0.3,0.18,0,84.96
1.2,0.3,0.14,1,1.56
1.2,0.3,0.11,2,2.8
1.4,0.3,0.13,0,2.78
1.4,0.3,0.17,1,3.82
1.4,0.3,0.09,2,73.28
1.6,0.3,0.18,0,86.84
1.6,0.3,0.16,1,84.38
1.6,0.3,0.1,2,67.68
1.8,0.3,0.15,0,83.5
1.8,0.3,0.16,1,96.28
1.8,0.3,0.12,2,1.12
2.0,0.3,0.18,0,83.34
2.0,0.3,0.16,1,81.08
2.0,0.3,0.09,2,76.4
2.2,0.3,0.08,0,0.82
2.2,0.3,0.12,1,2.44
2.2,0.3,0.13,2,78.62
2.4,0.3,0.08,0,90.32
2.4,0.3,0.14,1,1.04
2.4,0.3,0.17,2,0.96
2.6,0.3,0.1,0,84.52
2.6,0.3,0.13,1,62.42
2.6,0.3,0.13,2,0.94
2.8,0.3,0.1,0,1.0
2.8,0.3,0.15,1,0.72
2.8,0.3,0.1,2,89.2
3.0,0.3,0.15,0,1.0
3.0,0.3,0.18,1,77.42
3.0,0.3,0.12,2,74.62
3.2,0.3,0.1,0,74.38
3.2,0.3,0.11,1,69.84
3.2,0.3,0.13,2,0.66
3.4,0.3,0.18,0,83.44
3.4,0.3,0.15,1,83.84
3.4,0.3,0.12,2,1.3
3.6,0.3,0.07,0,1.3
3.6,0.3,0.15,1,79.3
3.6,0.3,0.23,2,0.92
3.8,0.3,0.14,0,1.48
3.8,0.3,0.22,1,1.06
3.8,0.3,0.14,2,83.66
0.0,0.4,0.0,0,76.22
0.0,0.4,0.0,1,1.86
0.0,0.4,0.0,2,1.6
0.2,0.4,0.25,0,78.42
0.2,0.4,0.24,1,90.76
0.2,0.4,0.32,2,83.6
0.4,0.4,0.21,0,79.84
0.4,0.4,0.24,1,72.5
0.4,0.4,0.2,2,83.98
0.6,0.4,0.23,0,0.94
0.6,0.4,0.21,1,4.58
0.6,0.4,0.24,2,0.9
0.8,0.4,0.3,0,0.76
0.8,0.4,0.21,1,77.12
0.8,0.4,0.25,2,80.26
1.0,0.4,0.39,0,1.42
1.0,0.4,0.15,1,0.84
1.0,0.4,0.35,2,0.9
1.2,0.4,0.19,0,20.0
1.2,0.4,0.28,1,97.12
1.2,0.4,0.29,2,88.42
1.4,0.4,0.25,0,95.7
1.4,0.4,0.35,1,81.76
1.4,0.4,0.29,2,92.6
1.6,0.4,0.24,0,88.98
1.6,0.4,0.28,1,84.96
1.6,0.4,0.29,2,1.92
1.8,0.4,0.21,0,79.12
1.8,0.4,0.22,1,78.36
1.8,0.4,0.27,2,91.56
