c_w,k,numGapJns,rep,spikeRate
0.0,0,0.0,0,292.4
0.0,0,0.0,1,291.6
0.0,0,0.0,2,292.8
0.0,0,0.0,3,290.8
0.0,0,0.0,4,291.4
0.05,0,0.0,0,289.0
0.05,0,0.0,1,2.8
0.05,0,0.0,2,287.8
0.05,0,0.0,3,293.0
0.05,0,0.0,4,296.0
0.1,0,0.0,0,294.8
0.1,0,0.0,1,290.4
0.1,0,0.0,2,283.2
0.1,0,0.0,3,298.4
0.1,0,0.0,4,293.2
0.15,0,0.0,0,292.6
0.15,0,0.0,1,295.4
0.15,0,0.0,2,296.4
0.15,0,0.0,3,297.0
0.15,0,0.0,4,293.4
0.2,0,0.0,0,295.8
0.2,0,0.0,1,294.0
0.2,0,0.0,2,297.8
0.2,0,0.0,3,279.4
0.2,0,0.0,4,296.2
0.25,0,0.0,0,294.4
0.25,0,0.0,1,292.4
0.25,0,0.0,2,296.0
0.25,0,0.0,3,298.6
0.25,0,0.0,4,294.2
0.3,0,0.0,0,300.2
0.3,0,0.0,1,299.4
0.3,0,0.0,2,288.6
0.3,0,0.0,3,294.6
0.3,0,0.0,4,289.6
0.35,0,0.0,0,291.0
0.35,0,0.0,1,294.4
0.35,0,0.0,2,298.2
0.35,0,0.0,3,295.0
0.35,0,0.0,4,291.8
0.4,0,0.0,0,300.8
0.4,0,0.0,1,300.4
0.4,0,0.0,2,296.0
0.4,0,0.0,3,286.0
0.4,0,0.0,4,297.8
0.45,0,0.0,0,298.6
0.45,0,0.0,1,287.6
0.45,0,0.0,2,295.0
0.45,0,0.0,3,288.0
0.45,0,0.0,4,297.4
0.5,0,0.0,0,291.8
0.5,0,0.0,1,295.8
0.5,0,0.0,2,296.8
0.5,0,0.0,3,294.2
0.5,0,0.0,4,294.0
0.55,0,0.0,0,300.6
0.55,0,0.0,1,290.4
0.55,0,0.0,2,299.8
0.55,0,0.0,3,296.4
0.55,0,0.0,4,300.6
0.6,0,0.0,0,296.0
0.6,0,0.0,1,300.8
0.6,0,0.0,2,295.0
0.6,0,0.0,3,296.0
0.6,0,0.0,4,292.2
0.65,0,0.0,0,297.8
0.65,0,0.0,1,295.8
0.65,0,0.0,2,300.4
0.65,0,0.0,3,292.4
0.65,0,0.0,4,294.4
0.7,0,0.0,0,290.8
0.7,0,0.0,1,285.2
0.7,0,0.0,2,293.8
0.7,0,0.0,3,295.0
0.7,0,0.0,4,300.0
0.75,0,0.0,0,295.0
0.75,0,0.0,1,289.2
0.75,0,0.0,2,292.8
0.75,0,0.0,3,290.4
0.75,0,0.0,4,287.6
0.8,0,0.0,0,293.2
0.8,0,0.0,1,297.8
0.8,0,0.0,2,285.4
0.8,0,0.0,3,295.4
0.8,0,0.0,4,295.2
0.85,0,0.0,0,294.8
0.85,0,0.0,1,296.8
0.85,0,0.0,2,286.4
0.85,0,0.0,3,290.6
0.85,0,0.0,4,288.6
0.9,0,0.0,0,296.6
0.9,0,0.0,1,292.2
0.9,0,0.0,2,291.6
0.9,0,0.0,3,297.6
0.9,0,0.0,4,290.8
0.95,0,0.0,0,291.0
0.95,0,0.0,1,291.2
0.95,0,0.0,2,298.6
0.95,0,0.0,3,291.8
0.95,0,0.0,4,297.4
1.0,0,0.0,0,294.0
1.0,0,0.0,1,293.4
1.0,0,0.0,2,296.8
1.0,0,0.0,3,291.2
1.0,0,0.0,4,294.8
1.05,0,0.0,0,292.6
1.05,0,0.0,1,293.0
1.05,0,0.0,2,288.0
1.05,0,0.0,3,293.0
1.05,0,0.0,4,294.2
1.1,0,0.0,0,289.4
1.1,0,0.0,1,288.4
1.1,0,0.0,2,297.4
1.1,0,0.0,3,294.2
1.1,0,0.0,4,293.8
1.15,0,0.0,0,290.4
1.15,0,0.0,1,291.6
1.15,0,0.0,2,285.2
1.15,0,0.0,3,298.8
1.15,0,0.0,4,296.2
1.2,0,0.0,0,291.6
1.2,0,0.0,1,297.2
1.2,0,0.0,2,298.2
1.2,0,0.0,3,295.0
1.2,0,0.0,4,297.6
1.25,0,0.0,0,283.4
1.25,0,0.0,1,298.4
1.25,0,0.0,2,282.0
1.25,0,0.0,3,291.4
1.25,0,0.0,4,289.2
1.3,0,0.0,0,295.2
1.3,0,0.0,1,292.4
1.3,0,0.0,2,292.2
1.3,0,0.0,3,287.0
1.3,0,0.0,4,292.8
1.35,0,0.0,0,294.4
1.35,0,0.0,1,291.8
1.35,0,0.0,2,287.8
1.35,0,0.0,3,296.4
1.35,0,0.0,4,294.6
1.4,0,0.0,0,294.2
1.4,0,0.0,1,301.0
1.4,0,0.0,2,293.4
1.4,0,0.0,3,297.8
1.4,0,0.0,4,296.8
1.45,0,0.0,0,296.6
1.45,0,0.0,1,297.0
1.45,0,0.0,2,292.4
1.45,0,0.0,3,290.6
1.45,0,0.0,4,293.8
1.5,0,0.0,0,298.2
1.5,0,0.0,1,298.4
1.5,0,0.0,2,291.0
1.5,0,0.0,3,292.2
1.5,0,0.0,4,287.2
1.55,0,0.0,0,295.6
1.55,0,0.0,1,290.2
1.55,0,0.0,2,289.4
1.55,0,0.0,3,295.2
1.55,0,0.0,4,294.8
1.6,0,0.0,0,287.6
1.6,0,0.0,1,295.6
1.6,0,0.0,2,291.8
1.6,0,0.0,3,290.0
1.6,0,0.0,4,287.4
1.65,0,0.0,0,289.2
1.65,0,0.0,1,295.2
1.65,0,0.0,2,292.8
1.65,0,0.0,3,284.2
1.65,0,0.0,4,297.6
1.7,0,0.0,0,292.2
1.7,0,0.0,1,294.2
1.7,0,0.0,2,293.0
1.7,0,0.0,3,289.2
1.7,0,0.0,4,293.6
1.75,0,0.0,0,296.6
1.75,0,0.0,1,296.6
1.75,0,0.0,2,293.4
1.75,0,0.0,3,289.8
1.75,0,0.0,4,298.6
1.8,0,0.0,0,291.8
1.8,0,0.0,1,289.4
1.8,0,0.0,2,282.6
1.8,0,0.0,3,292.4
1.8,0,0.0,4,291.4
1.85,0,0.0,0,295.0
1.85,0,0.0,1,296.8
1.85,0,0.0,2,289.4
1.85,0,0.0,3,297.2
1.85,0,0.0,4,287.6
1.9,0,0.0,0,292.6
1.9,0,0.0,1,296.6
1.9,0,0.0,2,291.4
1.9,0,0.0,3,293.2
1.9,0,0.0,4,288.6
1.95,0,0.0,0,295.2
1.95,0,0.0,1,296.4
1.95,0,0.0,2,291.0
1.95,0,0.0,3,287.4
1.95,0,0.0,4,297.4
0.0,1,0.0,0,287.6
0.0,1,0.0,1,288.6
0.0,1,0.0,2,294.4
0.0,1,0.0,3,296.0
0.0,1,0.0,4,292.8
0.05,1,0.5,0,285.2
0.05,1,0.5,1,286.0
0.05,1,0.5,2,289.8
0.05,1,0.5,3,294.2
0.05,1,0.5,4,2.8
0.1,1,0.5,0,294.8
0.1,1,0.5,1,301.4
0.1,1,0.5,2,286.4
0.1,1,0.5,3,288.8
0.1,1,0.5,4,299.4
0.15,1,0.5,0,285.0
0.15,1,0.5,1,292.4
0.15,1,0.5,2,298.0
0.15,1,0.5,3,294.6
0.15,1,0.5,4,299.8
0.2,1,0.5,0,292.0
0.2,1,0.5,1,287.2
0.2,1,0.5,2,291.2
0.2,1,0.5,3,295.4
0.2,1,0.5,4,285.2
0.25,1,0.5,0,292.2
0.25,1,0.5,1,290.4
0.25,1,0.5,2,293.2
0.25,1,0.5,3,296.0
0.25,1,0.5,4,290.0
0.3,1,0.5,0,293.4
0.3,1,0.5,1,289.2
0.3,1,0.5,2,292.0
0.3,1,0.5,3,291.6
0.3,1,0.5,4,294.2
0.35,1,0.5,0,287.8
0.35,1,0.5,1,292.2
0.35,1,0.5,2,289.0
0.35,1,0.5,3,295.8
0.35,1,0.5,4,289.8
0.4,1,0.5,0,295.8
0.4,1,0.5,1,294.4
0.4,1,0.5,2,283.0
0.4,1,0.5,3,297.6
0.4,1,0.5,4,295.6
0.45,1,0.5,0,289.8
0.45,1,0.5,1,291.6
0.45,1,0.5,2,293.8
0.45,1,0.5,3,292.6
0.45,1,0.5,4,290.2
0.5,1,0.5,0,2.8
0.5,1,0.5,1,294.0
0.5,1,0.5,2,296.6
0.5,1,0.5,3,290.2
0.5,1,0.5,4,293.4
0.55,1,0.5,0,296.0
0.55,1,0.5,1,292.8
0.55,1,0.5,2,285.8
0.55,1,0.5,3,286.8
0.55,1,0.5,4,277.4
0.6,1,0.5,0,286.8
0.6,1,0.5,1,288.4
0.6,1,0.5,2,281.2
0.6,1,0.5,3,298.6
