c_w,k,numGapJns,rep,spikeRate
0.0,0,0.0,0,287.4
0.5,0,0.0,0,279.0
1.0,0,0.0,0,285.2
1.5,0,0.0,0,285.2
0.0,1,0.0,0,284.0
0.5,1,0.5,0,278.0
1.0,1,0.5,0,2.8
1.5,1,0.5,0,269.6
0.0,2,0.0,0,284.6
0.5,2,1.0,0,281.0
1.0,2,1.0,0,259.4
1.5,2,1.0,0,2.8
0.0,3,0.0,0,278.0
0.5,3,1.5,0,280.6
1.0,3,1.5,0,2.8
1.5,3,1.5,0,2.8
0.0,4,0.0,0,288.4
0.5,4,2.0,0,259.4
1.0,4,2.0,0,7.4
1.5,4,2.0,0,2.8
0.0,5,0.0,0,291.6
0.5,5,2.5,0,251.6
1.0,5,2.5,0,2.8
1.5,5,2.5,0,2.2
0.0,6,0.0,0,295.2
0.5,6,3.0,0,2.8
1.0,6,3.0,0,2.4
1.5,6,3.0,0,0.0
0.0,7,0.0,0,299.0
0.5,7,3.5,0,4.8
1.0,7,3.5,0,0.0
1.5,7,3.5,0,0.0
0.0,8,0.0,0,287.2
0.5,8,4.0,0,2.8
1.0,8,4.0,0,0.0
1.5,8,4.0,0,0.0
