c_w,k,numGapJns,rep,spikeRate
0.0,0,0.0,0,287.4
0.0,0,0.0,1,279.0
0.0,0,0.0,2,285.2
0.0,0,0.0,3,285.2
0.0,0,0.0,4,284.0
0.05,0,0.0,0,284.0
0.05,0,0.0,1,2.8
0.05,0,0.0,2,283.2
0.05,0,0.0,3,284.6
0.05,0,0.0,4,290.4
0.1,0,0.0,0,291.2
0.1,0,0.0,1,284.8
0.1,0,0.0,2,278.0
0.1,0,0.0,3,292.8
0.1,0,0.0,4,288.6
0.15,0,0.0,0,295.4
0.15,0,0.0,1,288.4
0.15,0,0.0,2,293.0
0.15,0,0.0,3,292.8
0.15,0,0.0,4,288.2
0.2,0,0.0,0,291.6
0.2,0,0.0,1,292.2
0.2,0,0.0,2,289.6
0.2,0,0.0,3,274.8
0.2,0,0.0,4,295.2
0.25,0,0.0,0,290.0
0.25,0,0.0,1,280.6
0.25,0,0.0,2,289.6
0.25,0,0.0,3,299.0
0.25,0,0.0,4,291.0
0.3,0,0.0,0,292.6
0.3,0,0.0,1,293.4
0.3,0,0.0,2,287.2
0.3,0,0.0,3,291.8
0.3,0,0.0,4,283.8
0.35,0,0.0,0,285.6
0.35,0,0.0,1,288.8
0.35,0,0.0,2,290.8
0.35,0,0.0,3,290.6
0.35,0,0.0,4,287.2
0.4,0,0.0,0,293.6
0.4,0,0.0,1,295.8
0.4,0,0.0,2,289.0
0.4,0,0.0,3,280.0
0.4,0,0.0,4,290.2
0.45,0,0.0,0,291.0
0.45,0,0.0,1,283.6
0.45,0,0.0,2,289.0
0.45,0,0.0,3,283.0
0.45,0,0.0,4,293.8
0.5,0,0.0,0,280.0
0.5,0,0.0,1,291.8
0.5,0,0.0,2,289.4
0.5,0,0.0,3,288.6
0.5,0,0.0,4,290.2
0.55,0,0.0,0,295.8
0.55,0,0.0,1,286.2
0.55,0,0.0,2,294.2
0.55,0,0.0,3,287.8
0.55,0,0.0,4,291.6
0.6,0,0.0,0,290.0
0.6,0,0.0,1,299.0
0.6,0,0.0,2,293.2
0.6,0,0.0,3,293.8
0.6,0,0.0,4,286.0
0.65,0,0.0,0,288.6
0.65,0,0.0,1,295.0
0.65,0,0.0,2,292.0
0.65,0,0.0,3,284.6
0.65,0,0.0,4,288.6
0.7,0,0.0,0,281.8
0.7,0,0.0,1,280.6
0.7,0,0.0,2,292.2
0.7,0,0.0,3,287.0
0.7,0,0.0,4,290.8
0.75,0,0.0,0,293.6
0.75,0,0.0,1,280.4
0.75,0,0.0,2,291.6
0.75,0,0.0,3,278.8
0.75,0,0.0,4,282.8
0.8,0,0.0,0,284.4
0.8,0,0.0,1,292.2
0.8,0,0.0,2,280.2
0.8,0,0.0,3,293.0
0.8,0,0.0,4,292.4
0.85,0,0.0,0,287.4
0.85,0,0.0,1,292.6
0.85,0,0.0,2,279.6
0.85,0,0.0,3,282.2
0.85,0,0.0,4,281.2
0.9,0,0.0,0,291.0
0.9,0,0.0,1,284.4
0.9,0,0.0,2,284.0
0.9,0,0.0,3,291.2
0.9,0,0.0,4,278.8
0.95,0,0.0,0,283.8
0.95,0,0.0,1,288.0
0.95,0,0.0,2,295.0
0.95,0,0.0,3,283.6
0.95,0,0.0,4,294.4
1.0,0,0.0,0,285.8
1.0,0,0.0,1,287.8
1.0,0,0.0,2,285.8
1.0,0,0.0,3,282.4
1.0,0,0.0,4,288.6
1.05,0,0.0,0,290.2
1.05,0,0.0,1,288.4
1.05,0,0.0,2,282.2
1.05,0,0.0,3,283.4
1.05,0,0.0,4,291.4
1.1,0,0.0,0,286.6
1.1,0,0.0,1,281.0
1.1,0,0.0,2,295.4
1.1,0,0.0,3,290.4
1.1,0,0.0,4,288.4
1.15,0,0.0,0,286.4
1.15,0,0.0,1,281.2
1.15,0,0.0,2,278.6
1.15,0,0.0,3,296.8
1.15,0,0.0,4,292.4
1.2,0,0.0,0,289.4
1.2,0,0.0,1,289.6
1.2,0,0.0,2,290.8
1.2,0,0.0,3,290.8
1.2,0,0.0,4,293.0
1.25,0,0.0,0,280.8
1.25,0,0.0,1,296.8
1.25,0,0.0,2,273.2
1.25,0,0.0,3,281.4
1.25,0,0.0,4,285.0
1.3,0,0.0,0,287.0
1.3,0,0.0,1,287.6
1.3,0,0.0,2,285.0
1.3,0,0.0,3,282.2
1.3,0,0.0,4,287.8
1.35,0,0.0,0,289.2
1.35,0,0.0,1,283.8
1.35,0,0.0,2,281.8
1.35,0,0.0,3,291.8
1.35,0,0.0,4,281.0
1.4,0,0.0,0,288.8
1.4,0,0.0,1,295.6
1.4,0,0.0,2,290.4
1.4,0,0.0,3,289.4
1.4,0,0.0,4,287.0
1.45,0,0.0,0,296.4
1.45,0,0.0,1,289.4
1.45,0,0.0,2,286.4
1.45,0,0.0,3,284.2
1.45,0,0.0,4,287.8
1.5,0,0.0,0,291.2
1.5,0,0.0,1,293.6
1.5,0,0.0,2,285.2
1.5,0,0.0,3,290.4
1.5,0,0.0,4,283.2
1.55,0,0.0,0,292.2
1.55,0,0.0,1,281.0
1.55,0,0.0,2,287.6
1.55,0,0.0,3,290.8
1.55,0,0.0,4,289.2
1.6,0,0.0,0,282.6
1.6,0,0.0,1,291.6
1.6,0,0.0,2,289.4
1.6,0,0.0,3,280.4
1.6,0,0.0,4,281.2
1.65,0,0.0,0,281.2
1.65,0,0.0,1,289.8
1.65,0,0.0,2,287.8
1.65,0,0.0,3,280.8
1.65,0,0.0,4,287.2
1.7,0,0.0,0,290.8
1.7,0,0.0,1,288.6
1.7,0,0.0,2,289.8
1.7,0,0.0,3,281.8
1.7,0,0.0,4,288.6
1.75,0,0.0,0,293.2
1.75,0,0.0,1,293.4
1.75,0,0.0,2,281.6
1.75,0,0.0,3,281.8
1.75,0,0.0,4,288.8
1.8,0,0.0,0,284.2
1.8,0,0.0,1,285.6
1.8,0,0.0,2,277.2
1.8,0,0.0,3,286.6
1.8,0,0.0,4,285.8
1.85,0,0.0,0,287.8
1.85,0,0.0,1,289.8
1.85,0,0.0,2,284.8
1.85,0,0.0,3,287.0
1.85,0,0.0,4,281.6
1.9,0,0.0,0,287.2
1.9,0,0.0,1,293.2
1.9,0,0.0,2,287.4
1.9,0,0.0,3,285.6
1.9,0,0.0,4,284.0
1.95,0,0.0,0,288.8
1.95,0,0.0,1,295.4
1.95,0,0.0,2,280.2
1.95,0,0.0,3,280.2
1.95,0,0.0,4,292.4
0.0,1,0.0,0,274.4
0.0,1,0.0,1,287.2
0.0,1,0.0,2,289.0
0.0,1,0.0,3,290.6
0.0,1,0.0,4,288.8
0.05,1,0.5,0,275.2
0.05,1,0.5,1,278.2
0.05,1,0.5,2,286.6
0.05,1,0.5,3,286.6
0.05,1,0.5,4,2.8
0.1,1,0.5,0,290.4
0.1,1,0.5,1,291.2
0.1,1,0.5,2,278.2
0.1,1,0.5,3,279.4
0.1,1,0.5,4,296.8
0.15,1,0.5,0,272.4
0.15,1,0.5,1,283.8
0.15,1,0.5,2,286.8
0.15,1,0.5,3,289.8
0.15,1,0.5,4,295.2
0.2,1,0.5,0,282.4
0.2,1,0.5,1,282.8
0.2,1,0.5,2,286.2
0.2,1,0.5,3,290.4
0.2,1,0.5,4,278.6
0.25,1,0.5,0,286.2
0.25,1,0.5,1,286.0
0.25,1,0.5,2,287.0
0.25,1,0.5,3,295.8
0.25,1,0.5,4,287.8
0.3,1,0.5,0,281.0
0.3,1,0.5,1,282.4
0.3,1,0.5,2,283.4
0.3,1,0.5,3,287.6
0.3,1,0.5,4,284.8
0.35,1,0.5,0,273.8
0.35,1,0.5,1,280.0
0.35,1,0.5,2,281.8
0.35,1,0.5,3,290.0
0.35,1,0.5,4,284.6
0.4,1,0.5,0,289.2
0.4,1,0.5,1,280.8
0.4,1,0.5,2,277.8
0.4,1,0.5,3,285.0
0.4,1,0.5,4,292.4
0.45,1,0.5,0,281.2
0.45,1,0.5,1,286.6
0.45,1,0.5,2,277.6
0.45,1,0.5,3,286.6
0.45,1,0.5,4,284.2
0.5,1,0.5,0,2.8
0.5,1,0.5,1,286.2
0.5,1,0.5,2,289.0
0.5,1,0.5,3,283.8
0.5,1,0.5,4,287.8
0.55,1,0.5,0,284.8
0.55,1,0.5,1,285.2
0.55,1,0.5,2,280.8
0.55,1,0.5,3,276.6
0.55,1,0.5,4,267.6
0.6,1,0.5,0,276.8
0.6,1,0.5,1,280.0
0.6,1,0.5,2,275.4
0.6,1,0.5,3,4.2
0.6,1,0.5,4,283.2
0.65,1,0.5,0,256.2
0.65,1,0.5,1,287.0
0.65,1,0.5,2,271.4
0.65,1,0.5,3,277.2
0.65,1,0.5,4,293.4
0.7,1,0.5,0,268.0
0.7,1,0.5,1,286.4
0.7,1,0.5,2,279.0
0.7,1,0.5,3,279.4
0.7,1,0.5,4,279.4
0.75,1,0.5,0,281.6
0.75,1,0.5,1,286.2
0.75,1,0.5,2,287.8
0.75,1,0.5,3,284.4
0.75,1,0.5,4,281.4
0.8,1,0.5,0,266.0
0.8,1,0.5,1,276.8
0.8,1,0.5,2,289.0
0.8,1,0.5,3,281.6
0.8,1,0.5,4,286.4
0.85,1,0.5,0,266.8
0.85,1,0.5,1,287.6
0.85,1,0.5,2,289.0
0.85,1,0.5,3,269.4
0.85,1,0.5,4,284.4
0.9,1,0.5,0,262.4
0.9,1,0.5,1,278.8
0.9,1,0.5,2,273.8
0.9,1,0.5,3,284.8
0.9,1,0.5,4,266.6
0.95,1,0.5,0,287.2
0.95,1,0.5,1,279.0
0.95,1,0.5,2,278.2
0.95,1,0.5,3,281.2
0.95,1,0.5,4,275.2
1.0,1,0.5,0,279.2
1.0,1,0.5,1,272.6
1.0,1,0.5,2,284.4
1.0,1,0.5,3,271.8
1.0,1,0.5,4,273.0
1.05,1,0.5,0,274.0
1.05,1,0.5,1,273.4
1.05,1,0.5,2,265.4
1.05,1,0.5,3,271.0
1.05,1,0.5,4,4.8
1.1,1,0.5,0,283.6
1.1,1,0.5,1,272.4
1.1,1,0.5,2,266.2
1.1,1,0.5,3,272.0
1.1,1,0.5,4,272.2
1.15,1,0.5,0,272.8
1.15,1,0.5,1,283.4
1.15,1,0.5,2,268.4
1.15,1,0.5,3,287.4
1.15,1,0.5,4,259.8
1.2,1,0.5,0,282.8
1.2,1,0.5,1,271.4
1.2,1,0.5,2,277.4
1.2,1,0.5,3,288.0
1.2,1,0.5,4,277.0
1.25,1,0.5,0,4.2
1.25,1,0.5,1,279.0
1.25,1,0.5,2,271.6
1.25,1,0.5,3,275.4
1.25,1,0.5,4,269.8
1.3,1,0.5,0,258.8
1.3,1,0.5,1,280.2
1.3,1,0.5,2,258.6
1.3,1,0.5,3,260.6
1.3,1,0.5,4,252.0
1.35,1,0.5,0,4.4
1.35,1,0.5,1,268.0
1.35,1,0.5,2,280.0
1.35,1,0.5,3,267.6
1.35,1,0.5,4,278.0
1.4,1,0.5,0,6.6
1.4,1,0.5,1,268.2
1.4,1,0.5,2,6.2
1.4,1,0.5,3,253.0
1.4,1,0.5,4,5.6
1.45,1,0.5,0,274.4
1.45,1,0.5,1,2.8
1.45,1,0.5,2,278.8
1.45,1,0.5,3,261.8
1.45,1,0.5,4,275.0
1.5,1,0.5,0,275.4
1.5,1,0.5,1,4.2
1.5,1,0.5,2,278.8
