c_w,k,numGapJns,rep,spikeRate
0.0,0,0.0,0,293.8
0.0,0,0.0,1,290.6
0.0,0,0.0,2,290.0
0.0,0,0.0,3,289.6
0.0,0,0.0,4,281.4
0.05,0,0.0,0,295.6
0.05,0,0.0,1,294.4
0.05,0,0.0,2,292.8
0.05,0,0.0,3,291.8
0.05,0,0.0,4,297.6
0.1,0,0.0,0,296.2
0.1,0,0.0,1,296.0
0.1,0,0.0,2,294.8
0.1,0,0.0,3,297.0
0.1,0,0.0,4,295.0
0.15,0,0.0,0,294.4
0.15,0,0.0,1,298.4
0.15,0,0.0,2,290.2
0.15,0,0.0,3,294.6
0.15,0,0.0,4,294.2
0.2,0,0.0,0,296.0
0.2,0,0.0,1,289.6
0.2,0,0.0,2,291.6
0.2,0,0.0,3,295.2
0.2,0,0.0,4,296.2
0.25,0,0.0,0,298.8
0.25,0,0.0,1,297.2
0.25,0,0.0,2,289.0
0.25,0,0.0,3,292.2
0.25,0,0.0,4,291.2
0.3,0,0.0,0,284.8
0.3,0,0.0,1,297.4
0.3,0,0.0,2,293.2
0.3,0,0.0,3,291.8
0.3,0,0.0,4,301.8
0.35,0,0.0,0,293.4
0.35,0,0.0,1,279.4
0.35,0,0.0,2,290.6
0.35,0,0.0,3,291.0
0.35,0,0.0,4,299.8
0.4,0,0.0,0,284.6
0.4,0,0.0,1,293.6
0.4,0,0.0,2,290.2
0.4,0,0.0,3,283.8
0.4,0,0.0,4,292.2
0.45,0,0.0,0,295.0
0.45,0,0.0,1,290.6
0.45,0,0.0,2,291.8
0.45,0,0.0,3,272.4
0.45,0,0.0,4,297.0
0.5,0,0.0,0,292.6
0.5,0,0.0,1,290.2
0.5,0,0.0,2,299.4
0.5,0,0.0,3,291.6
0.5,0,0.0,4,294.4
0.55,0,0.0,0,299.8
0.55,0,0.0,1,292.2
0.55,0,0.0,2,296.8
0.55,0,0.0,3,2.8
0.55,0,0.0,4,283.8
0.6,0,0.0,0,293.0
0.6,0,0.0,1,295.8
0.6,0,0.0,2,289.4
0.6,0,0.0,3,282.6
0.6,0,0.0,4,297.2
0.65,0,0.0,0,301.8
0.65,0,0.0,1,297.8
0.65,0,0.0,2,284.6
0.65,0,0.0,3,294.4
0.65,0,0.0,4,291.6
0.7,0,0.0,0,295.2
0.7,0,0.0,1,288.6
0.7,0,0.0,2,294.0
0.7,0,0.0,3,292.0
0.7,0,0.0,4,292.2
0.75,0,0.0,0,282.4
0.75,0,0.0,1,295.0
0.75,0,0.0,2,287.0
0.75,0,0.0,3,294.0
0.75,0,0.0,4,288.6
0.8,0,0.0,0,291.2
0.8,0,0.0,1,289.2
0.8,0,0.0,2,2.8
0.8,0,0.0,3,288.0
0.8,0,0.0,4,296.4
0.85,0,0.0,0,285.2
0.85,0,0.0,1,290.8
0.85,0,0.0,2,288.6
0.85,0,0.0,3,297.4
0.85,0,0.0,4,290.2
0.9,0,0.0,0,286.2
0.9,0,0.0,1,290.0
0.9,0,0.0,2,290.2
0.9,0,0.0,3,294.0
0.9,0,0.0,4,289.0
0.95,0,0.0,0,290.6
0.95,0,0.0,1,294.2
0.95,0,0.0,2,287.6
0.95,0,0.0,3,291.8
0.95,0,0.0,4,287.4
1.0,0,0.0,0,290.8
1.0,0,0.0,1,289.4
1.0,0,0.0,2,290.6
1.0,0,0.0,3,287.6
1.0,0,0.0,4,286.8
1.05,0,0.0,0,300.2
1.05,0,0.0,1,289.4
1.05,0,0.0,2,296.6
1.05,0,0.0,3,287.8
1.05,0,0.0,4,286.6
1.1,0,0.0,0,292.2
1.1,0,0.0,1,289.0
1.1,0,0.0,2,300.6
1.1,0,0.0,3,288.6
1.1,0,0.0,4,296.6
1.15,0,0.0,0,287.6
1.15,0,0.0,1,292.0
1.15,0,0.0,2,2.8
1.15,0,0.0,3,293.2
1.15,0,0.0,4,291.8
1.2,0,0.0,0,284.6
1.2,0,0.0,1,291.8
1.2,0,0.0,2,296.8
1.2,0,0.0,3,286.2
1.2,0,0.0,4,289.8
1.25,0,0.0,0,287.4
1.25,0,0.0,1,300.0
1.25,0,0.0,2,291.6
1.25,0,0.0,3,289.8
1.25,0,0.0,4,298.0
1.3,0,0.0,0,296.2
1.3,0,0.0,1,293.8
1.3,0,0.0,2,292.6
1.3,0,0.0,3,290.6
1.3,0,0.0,4,295.4
1.35,0,0.0,0,2.8
1.35,0,0.0,1,294.2
1.35,0,0.0,2,290.4
1.35,0,0.0,3,299.4
1.35,0,0.0,4,285.0
1.4,0,0.0,0,292.0
1.4,0,0.0,1,286.0
1.4,0,0.0,2,291.6
1.4,0,0.0,3,290.0
1.4,0,0.0,4,295.0
1.45,0,0.0,0,291.6
1.45,0,0.0,1,286.4
1.45,0,0.0,2,293.2
1.45,0,0.0,3,292.4
1.45,0,0.0,4,292.8
1.5,0,0.0,0,300.0
1.5,0,0.0,1,290.8
1.5,0,0.0,2,289.2
1.5,0,0.0,3,286.6
1.5,0,0.0,4,296.6
1.55,0,0.0,0,294.4
1.55,0,0.0,1,291.0
1.55,0,0.0,2,290.4
1.55,0,0.0,3,292.6
1.55,0,0.0,4,292.2
1.6,0,0.0,0,294.8
1.6,0,0.0,1,287.6
1.6,0,0.0,2,293.8
1.6,0,0.0,3,293.0
1.6,0,0.0,4,294.2
1.65,0,0.0,0,292.8
1.65,0,0.0,1,292.4
1.65,0,0.0,2,290.2
1.65,0,0.0,3,290.4
1.65,0,0.0,4,290.6
1.7,0,0.0,0,285.2
1.7,0,0.0,1,291.2
1.7,0,0.0,2,295.8
