c_w,k,numGapJns,rep,spikeRate
0.0,0,0.0,0,242.0
0.05,0,0.0,0,242.0
0.1,0,0.0,0,242.0
0.15,0,0.0,0,242.0
0.2,0,0.0,0,242.0
0.25,0,0.0,0,242.0
0.3,0,0.0,0,242.0
0.35,0,0.0,0,242.0
0.4,0,0.0,0,242.0
0.45,0,0.0,0,242.0
0.5,0,0.0,0,242.0
0.55,0,0.0,0,242.0
0.6,0,0.0,0,242.0
0.65,0,0.0,0,242.0
0.7,0,0.0,0,242.0
0.75,0,0.0,0,242.0
0.8,0,0.0,0,242.0
0.85,0,0.0,0,242.0
0.9,0,0.0,0,242.0
0.95,0,0.0,0,242.0
1.0,0,0.0,0,242.0
1.05,0,0.0,0,242.0
1.1,0,0.0,0,242.0
1.15,0,0.0,0,242.0
1.2,0,0.0,0,242.0
1.25,0,0.0,0,242.0
1.3,0,0.0,0,242.0
1.35,0,0.0,0,242.0
1.4,0,0.0,0,242.0
1.45,0,0.0,0,242.0
1.5,0,0.0,0,242.0
1.55,0,0.0,0,242.0
1.6,0,0.0,0,242.0
1.65,0,0.0,0,242.0
1.7,0,0.0,0,242.0
1.75,0,0.0,0,242.0
1.8,0,0.0,0,242.0
1.85,0,0.0,0,242.0
1.9,0,0.0,0,242.0
1.95,0,0.0,0,242.0
0.0,1,0.0,0,242.0
0.05,1,0.5,0,242.0
0.1,1,0.5,0,242.0
0.15,1,0.5,0,242.0
0.2,1,0.5,0,242.0
0.25,1,0.5,0,250.0
0.3,1,0.5,0,248.0
0.35,1,0.5,0,248.0
0.4,1,0.5,0,250.0
0.45,1,0.5,0,262.0
0.5,1,0.5,0,262.0
0.55,1,0.5,0,266.0
0.6,1,0.5,0,280.0
0.65,1,0.5,0,294.0
0.7,1,0.5,0,320.0
0.75,1,0.5,0,230.0
0.8,1,0.5,0,226.0
0.85,1,0.5,0,178.0
0.9,1,0.5,0,174.0
0.95,1,0.5,0,146.0
1.0,1,0.5,0,144.0
1.05,1,0.5,0,144.0
1.1,1,0.5,0,144.0
1.15,1,0.5,0,138.0
1.2,1,0.5,0,130.0
1.25,1,0.5,0,120.0
1.3,1,0.5,0,116.0
1.35,1,0.5,0,106.0
1.4,1,0.5,0,82.0
1.45,1,0.5,0,82.0
1.5,1,0.5,0,20.0
1.55,1,0.5,0,20.0
1.6,1,0.5,0,2.0
1.65,1,0.5,0,2.0
1.7,1,0.5,0,2.0
1.75,1,0.5,0,2.0
1.8,1,0.5,0,2.0
1.85,1,0.5,0,2.0
1.9,1,0.5,0,2.0
1.95,1,0.5,0,2.0
0.0,2,0.0,0,242.0
0.05,2,1.0,0,242.0
0.1,2,1.0,0,242.0
0.15,2,1.0,0,250.0
0.2,2,1.0,0,250.0
0.25,2,1.0,0,262.0
0.3,2,1.0,0,286.0
0.35,2,1.0,0,318.0
0.4,2,1.0,0,268.0
0.45,2,1.0,0,260.0
0.5,2,1.0,0,246.0
0.55,2,1.0,0,244.0
0.6,2,1.0,0,232.0
0.65,2,1.0,0,230.0
0.7,2,1.0,0,230.0
0.75,2,1.0,0,156.0
0.8,2,1.0,0,14.0
0.85,2,1.0,0,18.0
0.9,2,1.0,0,2.0
0.95,2,1.0,0,2.0
1.0,2,1.0,0,2.0
1.05,2,1.0,0,2.0
1.1,2,1.0,0,2.0
1.15,2,1.0,0,2.0
1.2,2,1.0,0,2.0
1.25,2,1.0,0,2.0
1.3,2,1.0,0,2.0
1.35,2,1.0,0,2.0
1.4,2,1.0,0,2.0
1.45,2,1.0,0,2.0
1.5,2,1.0,0,2.0
1.55,2,1.0,0,2.0
1.6,2,1.0,0,2.0
1.65,2,1.0,0,2.0
1.7,2,1.0,0,2.0
1.75,2,1.0,0,2.0
1.8,2,1.0,0,2.0
1.85,2,1.0,0,2.0
1.9,2,1.0,0,2.0
1.95,2,1.0,0,2.0
0.0,3,0.0,0,242.0
0.05,3,1.5,0,242.0
0.1,3,1.5,0,246.0
0.15,3,1.5,0,252.0
0.2,3,1.5,0,268.0
0.25,3,1.5,0,284.0
0.3,3,1.5,0,314.0
0.35,3,1.5,0,312.0
0.4,3,1.5,0,240.0
0.45,3,1.5,0,240.0
0.5,3,1.5,0,234.0
0.55,3,1.5,0,232.0
0.6,3,1.5,0,214.0
0.65,3,1.5,0,188.0
0.7,3,1.5,0,82.0
0.75,3,1.5,0,60.0
0.8,3,1.5,0,60.0
0.85,3,1.5,0,28.0
0.9,3,1.5,0,22.0
0.95,3,1.5,0,4.0
1.0,3,1.5,0,4.0
1.05,3,1.5,0,4.0
1.1,3,1.5,0,2.0
1.15,3,1.5,0,2.0
1.2,3,1.5,0,2.0
1.25,3,1.5,0,2.0
1.3,3,1.5,0,2.0
1.35,3,1.5,0,2.0
1.4,3,1.5,0,2.0
1.45,3,1.5,0,2.0
1.5,3,1.5,0,2.0
1.55,3,1.5,0,2.0
1.6,3,1.5,0,2.0
1.65,3,1.5,0,2.0
1.7,3,1.5,0,2.0
1.75,3,1.5,0,2.0
1.8,3,1.5,0,2.0
1.85,3,1.5,0,2.0
1.9,3,1.5,0,2.0
1.95,3,1.5,0,2.0
0.0,4,0.0,0,242.0
0.05,4,2.0,0,242.0
0.1,4,2.0,0,250.0
0.15,4,2.0,0,290.0
0.2,4,2.0,0,272.0
0.25,4,2.0,0,240.0
0.3,4,2.0,0,232.0
0.35,4,2.0,0,90.0
0.4,4,2.0,0,50.0
0.45,4,2.0,0,58.0
0.5,4,2.0,0,18.0
0.55,4,2.0,0,2.0
0.6,4,2.0,0,2.0
0.65,4,2.0,0,2.0
0.7,4,2.0,0,2.0
0.75,4,2.0,0,2.0
0.8,4,2.0,0,2.0
0.85,4,2.0,0,2.0
0.9,4,2.0,0,2.0
0.95,4,2.0,0,2.0
1.0,4,2.0,0,2.0
1.05,4,2.0,0,2.0
1.1,4,2.0,0,2.0
1.15,4,2.0,0,2.0
1.2,4,2.0,0,2.0
1.25,4,2.0,0,2.0
1.3,4,2.0,0,2.0
1.35,4,2.0,0,2.0
1.4,4,2.0,0,2.0
1.45,4,2.0,0,2.0
1.5,4,2.0,0,2.0
1.55,4,2.0,0,2.0
1.6,4,2.0,0,4.0
1.65,4,2.0,0,4.0
1.7,4,2.0,0,4.0
1.75,4,2.0,0,4.0
1.8,4,2.0,0,2.0
1.85,4,2.0,0,2.0
1.9,4,2.0,0,2.0
1.95,4,2.0,0,2.0
0.0,5,0.0,0,242.0
0.05,5,2.5,0,240.0
0.1,5,2.5,0,256.0
0.15,5,2.5,0,306.0
0.2,5,2.5,0,240.0
0.25,5,2.5,0,232.0
0.3,5,2.5,0,86.0
0.35,5,2.5,0,60.0
0.4,5,2.5,0,40.0
0.45,5,2.5,0,18.0
0.5,5,2.5,0,8.0
0.55,5,2.5,0,2.0
0.6,5,2.5,0,2.0
0.65,5,2.5,0,2.0
0.7,5,2.5,0,2.0
0.75,5,2.5,0,2.0
0.8,5,2.5,0,2.0
0.85,5,2.5,0,2.0
0.9,5,2.5,0,2.0
0.95,5,2.5,0,2.0
1.0,5,2.5,0,2.0
1.05,5,2.5,0,2.0
1.1,5,2.5,0,2.0
1.15,5,2.5,0,2.0
1.2,5,2.5,0,4.0
1.25,5,2.5,0,4.0
1.3,5,2.5,0,4.0
1.35,5,2.5,0,2.0
1.4,5,2.5,0,2.0
1.45,5,2.5,0,2.0
1.5,5,2.5,0,2.0
1.55,5,2.5,0,0.0
1.6,5,2.5,0,0.0
1.65,5,2.5,0,0.0
1.7,5,2.5,0,0.0
1.75,5,2.5,0,0.0
1.8,5,2.5,0,0.0
1.85,5,2.5,0,0.0
1.9,5,2.5,0,0.0
1.95,5,2.5,0,0.0
0.0,6,0.0,0,242.0
0.05,6,3.0,0,250.0
0.1,6,3.0,0,274.0
0.15,6,3.0,0,282.0
0.2,6,3.0,0,174.0
0.25,6,3.0,0,80.0
0.3,6,3.0,0,40.0
0.35,6,3.0,0,18.0
0.4,6,3.0,0,8.0
0.45,6,3.0,0,4.0
0.5,6,3.0,0,2.0
0.55,6,3.0,0,2.0
0.6,6,3.0,0,2.0
0.65,6,3.0,0,2.0
0.7,6,3.0,0,2.0
0.75,6,3.0,0,2.0
0.8,6,3.0,0,2.0
0.85,6,3.0,0,2.0
0.9,6,3.0,0,2.0
0.95,6,3.0,0,2.0
1.0,6,3.0,0,4.0
1.05,6,3.0,0,4.0
1.1,6,3.0,0,2.0
1.15,6,3.0,0,2.0
1.2,6,3.0,0,2.0
1.25,6,3.0,0,0.0
1.3,6,3.0,0,0.0
1.35,6,3.0,0,0.0
1.4,6,3.0,0,0.0
1.45,6,3.0,0,0.0
1.5,6,3.0,0,0.0
1.55,6,3.0,0,0.0
1.6,6,3.0,0,0.0
1.65,6,3.0,0,0.0
1.7,6,3.0,0,0.0
1.75,6,3.0,0,0.0
1.8,6,3.0,0,0.0
1.85,6,3.0,0,0.0
1.9,6,3.0,0,0.0
1.95,6,3.0,0,0.0
0.0,7,0.0,0,242.0
0.05,7,3.5,0,250.0
0.1,7,3.5,0,308.0
0.15,7,3.5,0,182.0
0.2,7,3.5,0,84.0
0.25,7,3.5,0,56.0
0.3,7,3.5,0,34.0
0.35,7,3.5,0,8.0
0.4,7,3.5,0,2.0
0.45,7,3.5,0,2.0
0.5,7,3.5,0,2.0
0.55,7,3.5,0,2.0
0.6,7,3.5,0,2.0
0.65,7,3.5,0,2.0
0.7,7,3.5,0,4.0
0.75,7,3.5,0,4.0
0.8,7,3.5,0,2.0
0.85,7,3.5,0,0.0
0.9,7,3.5,0,0.0
0.95,7,3.5,0,0.0
1.0,7,3.5,0,0.0
1.05,7,3.5,0,0.0
1.1,7,3.5,0,0.0
1.15,7,3.5,0,0.0
1.2,7,3.5,0,0.0
1.25,7,3.5,0,0.0
1.3,7,3.5,0,0.0
1.35,7,3.5,0,0.0
1.4,7,3.5,0,0.0
1.45,7,3.5,0,0.0
1.5,7,3.5,0,0.0
1.55,7,3.5,0,0.0
1.6,7,3.5,0,0.0
1.65,7,3.5,0,0.0
1.7,7,3.5,0,0.0
1.75,7,3.5,0,0.0
1.8,7,3.5,0,0.0
1.85,7,3.5,0,0.0
1.9,7,3.5,0,0.0
1.95,7,3.5,0,0.0
0.0,8,0.0,0,242.0
0.05,8,4.0,0,266.0
0.1,8,4.0,0,342.0
0.15,8,4.0,0,50.0
0.2,8,4.0,0,50.0
0.25,8,4.0,0,58.0
0.3,8,4.0,0,18.0
0.35,8,4.0,0,2.0
0.4,8,4.0,0,2.0
0.45,8,4.0,0,2.0
0.5,8,4.0,0,2.0
0.55,8,4.0,0,2.0
0.6,8,4.0,0,2.0
0.65,8,4.0,0,2.0
0.7,8,4.0,0,4.0
0.75,8,4.0,0,4.0
0.8,8,4.0,0,2.0
0.85,8,4.0,0,0.0
0.9,8,4.0,0,0.0
0.95,8,4.0,0,0.0
1.0,8,4.0,0,0.0
1.05,8,4.0,0,0.0
1.1,8,4.0,0,0.0
1.15,8,4.0,0,0.0
1.2,8,4.0,0,0.0
1.25,8,4.0,0,0.0
1.3,8,4.0,0,0.0
1.35,8,4.0,0,0.0
1.4,8,4.0,0,0.0
1.45,8,4.0,0,0.0
1.5,8,4.0,0,0.0
