c_w,k,numGapJns,rep,spikeRate
0.0,0,0.0,0,267.4
0.05,0,0.0,0,267.2
0.1,0,0.0,0,265.8
0.15,0,0.0,0,269.6
0.2,0,0.0,0,265.0
0.25,0,0.0,0,268.4
0.3,0,0.0,0,277.6
0.35,0,0.0,0,265.2
0.4,0,0.0,0,269.6
0.45,0,0.0,0,265.2
0.5,0,0.0,0,273.6
0.55,0,0.0,0,267.6
0.6,0,0.0,0,267.0
0.65,0,0.0,0,268.2
0.7,0,0.0,0,270.0
0.75,0,0.0,0,265.8
0.8,0,0.0,0,271.8
0.85,0,0.0,0,268.4
0.9,0,0.0,0,274.4
0.95,0,0.0,0,270.0
0.0,1,0.0,0,278.8
0.05,1,0.5,0,267.0
0.1,1,0.5,0,270.8
0.15,1,0.5,0,261.8
0.2,1,0.5,0,270.0
0.25,1,0.5,0,265.8
0.3,1,0.5,0,265.6
0.35,1,0.5,0,266.4
0.4,1,0.5,0,2.8
0.45,1,0.5,0,2.8
0.5,1,0.5,0,257.2
0.55,1,0.5,0,260.0
0.6,1,0.5,0,256.4
0.65,1,0.5,0,5.4
0.7,1,0.5,0,255.0
0.75,1,0.5,0,249.4
0.8,1,0.5,0,233.6
0.85,1,0.5,0,250.4
0.9,1,0.5,0,255.6
0.95,1,0.5,0,239.2
0.0,2,0.0,0,263.0
0.05,2,1.0,0,267.6
0.1,2,1.0,0,270.4
0.15,2,1.0,0,269.2
0.2,2,1.0,0,262.0
0.25,2,1.0,0,266.0
0.3,2,1.0,0,264.6
0.35,2,1.0,0,249.4
0.4,2,1.0,0,254.2
0.45,2,1.0,0,8.2
0.5,2,1.0,0,119.0
0.55,2,1.0,0,2.8
0.6,2,1.0,0,210.8
0.65,2,1.0,0,2.8
0.7,2,1.0,0,5.0
0.75,2,1.0,0,2.8
0.8,2,1.0,0,2.8
0.85,2,1.0,0,4.6
0.9,2,1.0,0,9.2
0.95,2,1.0,0,2.8
0.0,3,0.0,0,272.6
0.05,3,1.5,0,257.2
0.1,3,1.5,0,270.6
0.15,3,1.5,0,274.0
0.2,3,1.5,0,255.0
0.25,3,1.5,0,246.2
0.3,3,1.5,0,211.4
0.35,3,1.5,0,69.6
0.4,3,1.5,0,15.8
0.45,3,1.5,0,25.0
0.5,3,1.5,0,12.6
0.55,3,1.5,0,2.8
0.6,3,1.5,0,13.0
0.65,3,1.5,0,2.8
0.7,3,1.5,0,5.0
0.75,3,1.5,0,2.8
0.8,3,1.5,0,11.4
0.85,3,1.5,0,4.8
0.9,3,1.5,0,4.8
0.95,3,1.5,0,4.8
0.0,4,0.0,0,268.2
0.05,4,2.0,0,268.8
0.1,4,2.0,0,270.8
0.15,4,2.0,0,246.8
0.2,4,2.0,0,4.6
0.25,4,2.0,0,2.8
0.3,4,2.0,0,6.0
0.35,4,2.0,0,92.4
0.4,4,2.0,0,78.4
0.45,4,2.0,0,8.8
0.5,4,2.0,0,31.0
0.55,4,2.0,0,2.8
0.6,4,2.0,0,2.8
0.65,4,2.0,0,2.8
0.7,4,2.0,0,2.8
0.75,4,2.0,0,2.8
0.8,4,2.0,0,2.8
0.85,4,2.0,0,2.8
0.9,4,2.0,0,2.8
0.95,4,2.0,0,2.8
0.0,5,0.0,0,2.8
0.05,5,2.5,0,271.4
0.1,5,2.5,0,248.2
0.15,5,2.5,0,4.8
0.2,5,2.5,0,4.8
0.25,5,2.5,0,255.6
0.3,5,2.5,0,2.8
0.35,5,2.5,0,48.8
0.4,5,2.5,0,7.8
0.45,5,2.5,0,8.8
0.5,5,2.5,0,4.2
0.55,5,2.5,0,10.6
0.6,5,2.5,0,2.8
0.65,5,2.5,0,2.8
0.7,5,2.5,0,2.8
0.75,5,2.5,0,2.8
0.8,5,2.5,0,2.8
0.85,5,2.5,0,2.8
0.9,5,2.5,0,2.8
0.95,5,2.5,0,2.8
0.0,6,0.0,0,267.0
0.05,6,3.0,0,264.4
0.1,6,3.0,0,251.6
0.15,6,3.0,0,250.6
0.2,6,3.0,0,131.2
0.25,6,3.0,0,180.8
0.3,6,3.0,0,13.4
0.35,6,3.0,0,2.8
0.4,6,3.0,0,2.8
0.45,6,3.0,0,8.8
0.5,6,3.0,0,4.8
0.55,6,3.0,0,2.8
0.6,6,3.0,0,2.8
0.65,6,3.0,0,2.8
0.7,6,3.0,0,2.8
0.75,6,3.0,0,2.6
0.8,6,3.0,0,2.8
0.85,6,3.0,0,2.8
0.9,6,3.0,0,2.8
0.95,6,3.0,0,2.6
0.0,7,0.0,0,268.4
0.05,7,3.5,0,264.0
0.1,7,3.5,0,253.4
0.15,7,3.5,0,2.8
0.2,7,3.5,0,22.0
0.25,7,3.5,0,102.6
0.3,7,3.5,0,9.2
0.35,7,3.5,0,4.8
0.4,7,3.5,0,4.4
0.45,7,3.5,0,2.8
0.5,7,3.5,0,2.8
0.55,7,3.5,0,2.6
0.6,7,3.5,0,2.8
0.65,7,3.5,0,2.6
0.7,7,3.5,0,2.6
0.75,7,3.5,0,2.6
0.8,7,3.5,0,2.2
0.85,7,3.5,0,0.0
0.9,7,3.5,0,0.0
0.95,7,3.5,0,0.0
0.0,8,0.0,0,262.4
0.05,8,4.0,0,265.4
0.1,8,4.0,0,2.8
0.15,8,4.0,0,88.4
0.2,8,4.0,0,2.8
0.25,8,4.0,0,4.8
0.3,8,4.0,0,2.8
0.35,8,4.0,0,2.8
0.4,8,4.0,0,2.8
0.45,8,4.0,0,2.8
0.5,8,4.0,0,2.8
0.55,8,4.0,0,2.8
0.6,8,4.0,0,2.8
0.65,8,4.0,0,2.6
0.7,8,4.0,0,2.6
0.75,8,4.0,0,2.6
0.8,8,4.0,0,2.4
0.85,8,4.0,0,2.2
0.9,8,4.0,0,0.0
0.95,8,4.0,0,0.0
