c_w,d_tresh,numGapJns,rep,spikeRate
0.0,0.0,0.0,0,279.4
0.0,0.0,0.0,1,275.88
0.0,0.0,0.0,2,279.68
0.2,0.0,0.0,0,279.06
0.2,0.0,0.0,1,278.02
0.2,0.0,0.0,2,276.02
0.4,0.0,0.0,0,2.86
0.4,0.0,0.0,1,277.92
0.4,0.0,0.0,2,278.02
0.6,0.0,0.0,0,280.4
0.6,0.0,0.0,1,279.98
0.6,0.0,0.0,2,273.88
0.8,0.0,0.0,0,271.48
0.8,0.0,0.0,1,283.78
0.8,0.0,0.0,2,281.54
1.0,0.0,0.0,0,284.52
1.0,0.0,0.0,1,285.14
1.0,0.0,0.0,2,282.24
1.2,0.0,0.0,0,280.78
1.2,0.0,0.0,1,278.94
1.2,0.0,0.0,2,282.92
1.4,0.0,0.0,0,281.2
1.4,0.0,0.0,1,280.58
1.4,0.0,0.0,2,269.04
1.6,0.0,0.0,0,285.34
1.6,0.0,0.0,1,280.94
1.6,0.0,0.0,2,276.76
1.8,0.0,0.0,0,281.34
1.8,0.0,0.0,1,285.04
1.8,0.0,0.0,2,280.26
2.0,0.0,0.0,0,285.06
2.0,0.0,0.0,1,285.78
2.0,0.0,0.0,2,280.54
2.2,0.0,0.0,0,283.3
2.2,0.0,0.0,1,275.44
2.2,0.0,0.0,2,276.14
2.4,0.0,0.0,0,280.08
2.4,0.0,0.0,1,283.14
2.4,0.0,0.0,2,282.2
2.6,0.0,0.0,0,280.9
2.6,0.0,0.0,1,282.22
2.6,0.0,0.0,2,285.18
2.8,0.0,0.0,0,279.92
2.8,0.0,0.0,1,272.74
2.8,0.0,0.0,2,282.04
3.0,0.0,0.0,0,281.76
3.0,0.0,0.0,1,277.18
3.0,0.0,0.0,2,282.98
3.2,0.0,0.0,0,281.06
3.2,0.0,0.0,1,282.42
3.2,0.0,0.0,2,275.02
3.4,0.0,0.0,0,282.12
3.4,0.0,0.0,1,281.14
3.4,0.0,0.0,2,280.6
3.6,0.0,0.0,0,281.96
3.6,0.0,0.0,1,284.78
3.6,0.0,0.0,2,278.5
3.8,0.0,0.0,0,285.32
3.8,0.0,0.0,1,279.66
3.8,0.0,0.0,2,281.62
0.0,0.1,0.0,0,281.46
0.0,0.1,0.0,1,285.1
0.0,0.1,0.0,2,284.22
0.2,0.1,0.0,0,282.82
0.2,0.1,0.0,1,276.58
0.2,0.1,0.0,2,283.86
0.4,0.1,0.0,0,284.98
0.4,0.1,0.0,1,281.32
0.4,0.1,0.0,2,280.04
0.6,0.1,0.0,0,281.54
0.6,0.1,0.0,1,275.84
0.6,0.1,0.0,2,271.6
0.8,0.1,0.0,0,282.86
0.8,0.1,0.0,1,282.9
0.8,0.1,0.0,2,282.86
1.0,0.1,0.0,0,282.04
1.0,0.1,0.0,1,271.6
1.0,0.1,0.0,2,281.68
1.2,0.1,0.0,0,277.98
1.2,0.1,0.0,1,275.22
1.2,0.1,0.0,2,280.08
1.4,0.1,0.0,0,284.0
1.4,0.1,0.0,1,277.66
1.4,0.1,0.0,2,282.72
1.6,0.1,0.0,0,284.36
1.6,0.1,0.0,1,279.12
1.6,0.1,0.0,2,284.1
1.8,0.1,0.0,0,274.26
1.8,0.1,0.0,1,277.0
1.8,0.1,0.0,2,277.74
2.0,0.1,0.0,0,282.62
2.0,0.1,0.0,1,277.52
2.0,0.1,0.0,2,276.72
2.2,0.1,0.0,0,281.98
2.2,0.1,0.0,1,274.92
2.2,0.1,0.0,2,276.2
2.4,0.1,0.0,0,281.14
2.4,0.1,0.0,1,282.22
2.4,0.1,0.0,2,278.0
2.6,0.1,0.0,0,284.36
2.6,0.1,0.0,1,281.86
2.6,0.1,0.0,2,280.34
2.8,0.1,0.0,0,283.26
2.8,0.1,0.0,1,276.86
2.8,0.1,0.0,2,282.06
3.0,0.1,0.0,0,281.66
3.0,0.1,0.0,1,278.66
3.0,0.1,0.0,2,279.66
3.2,0.1,0.0,0,279.54
3.2,0.1,0.0,1,281.2
3.2,0.1,0.0,2,277.12
